Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.29.0.10-172.29.0.20-8080-52536-6,172.29.0.20,52536,172.29.0.10,8080,6,03/09/2026 03:02:51,7627,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,38547.26629080897,1311.131506490101,847.4444444444443,2205.6887876075757,6719.0,4.0,7455.0,1863.75,3269.5398631407857,6764.0,88.0,7607.0,1901.75,3214.320288438392,6719.0,176.0,0,0,0,0,168,168,655.5657532450505,655.5657532450505,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52564-6,172.29.0.20,52564,172.29.0.10,8080,6,03/09/2026 03:02:51,1811,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,162341.24792932082,5521.811154058531,201.22222222222223,292.30796165079806,749.0,2.0,1732.0,433.0,328.7075701389712,749.0,16.0,1799.0,449.75,295.28446736438184,755.0,89.0,0,0,0,0,168,168,2760.9055770292657,2760.9055770292657,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52554-6,172.29.0.20,52554,172.29.0.10,8080,6,03/09/2026 03:02:51,4051,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,72574.6729202666,2468.5262898049864,450.1111111111111,676.1999416674857,1863.0,4.0,2891.0,722.75,850.4274905402968,1895.0,65.0,3937.0,984.25,741.1213913163393,1863.0,82.0,0,0,0,0,168,168,1234.2631449024932,1234.2631449024932,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52544-6,172.29.0.20,52544,172.29.0.10,8080,6,03/09/2026 03:02:51,5393,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,54515.11218245874,1854.2555164101611,599.2222222222222,932.0666255394217,2840.0,5.0,4523.0,1130.75,1221.605876159192,2867.0,38.0,5366.0,1341.5,1009.7569014371727,2840.0,646.0,0,0,0,0,168,168,927.1277582050806,927.1277582050806,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52576-6,172.29.0.20,52576,172.29.0.10,8080,6,03/09/2026 03:02:51,5189,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,56658.31566775872,1927.1535941414531,576.5555555555555,961.829651122161,2591.0,1.0,3331.0,832.75,1197.8097720422888,2615.0,25.0,5172.0,1293.0,1126.0148015605005,2591.0,331.0,0,0,0,0,168,168,963.5767970707266,963.5767970707266,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52566-6,172.29.0.20,52566,172.29.0.10,8080,6,03/09/2026 03:02:51,6270,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,46889.95215311005,1594.8963317384369,696.6666666666666,1479.9483943705604,4513.0,1.0,5129.0,1282.25,2166.48353713262,4520.0,35.0,6225.0,1556.25,2022.4236903609822,4513.0,38.0,0,0,0,0,168,168,797.4481658692184,797.4481658692184,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52614-6,172.29.0.20,52614,172.29.0.10,8080,6,03/09/2026 03:02:51,4991,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,58906.030855539975,2003.6064916850332,554.5555555555555,1567.8111422546333,4734.0,2.0,4858.0,1214.5,2351.707819153278,4742.0,19.0,4968.0,1242.0,2328.3746834791577,4734.0,46.0,0,0,0,0,168,168,1001.8032458425166,1001.8032458425166,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52586-6,172.29.0.20,52586,172.29.0.10,8080,6,03/09/2026 03:02:51,6796,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,43260.74161271336,1471.4537963507946,755.1111111111112,1814.2991377143712,5541.0,1.0,6741.0,1685.25,2616.2041682559866,5579.0,48.0,6756.0,1689.0,2589.6781009744564,5541.0,61.0,0,0,0,0,168,168,735.7268981753973,735.7268981753973,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52600-6,172.29.0.20,52600,172.29.0.10,8080,6,03/09/2026 03:02:51,7713,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,38117.46402178141,1296.512381693245,856.9999999999999,1926.2564730585593,5865.0,1.0,7293.0,1823.25,2775.9578977354827,5887.0,12.0,7705.0,1926.25,2678.321535962402,5865.0,75.0,0,0,0,0,168,168,648.2561908466225,648.2561908466225,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52644-6,172.29.0.20,52644,172.29.0.10,8080,6,03/09/2026 03:02:51,4037,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,72826.3562051028,2477.086945751796,448.5555555555556,1252.8131455958537,3788.0,1.0,3935.0,983.75,1880.8243538406239,3804.0,8.0,4032.0,1008.0000000000001,1854.0462058247992,3788.0,13.0,0,0,0,0,168,168,1238.543472875898,1238.543472875898,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
