Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.29.0.10-172.29.0.20-8080-41726-6,172.29.0.20,41726,172.29.0.10,8080,6,03/09/2026 03:06:27,2798,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,105075.05360972122,3573.98141529664,310.8888888888889,775.4194742918901,2368.0,4.0,2735.0,683.75,1143.2428657113937,2392.0,37.0,2778.0,694.5,1120.3268868206874,2368.0,62.0,0,0,0,0,168,168,1786.99070764832,1786.99070764832,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41730-6,172.29.0.20,41730,172.29.0.10,8080,6,03/09/2026 03:06:27,2164,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,135859.51940850276,4621.072088724583,240.44444444444446,438.6590678166562,1169.0,3.0,2059.0,514.75,583.71132991117,1183.0,8.0,2159.0,539.75,550.6658847855628,1169.0,45.0,0,0,0,0,168,168,2310.5360443622917,2310.5360443622917,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41728-6,172.29.0.20,41728,172.29.0.10,8080,6,03/09/2026 03:06:27,3014,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,97544.7909754479,3317.8500331785003,334.8888888888889,409.8745065396372,980.0,5.0,2526.0,631.5,432.00347220826825,988.0,19.0,3000.0,750.0,227.9283513153494,994.0,496.0,0,0,0,0,168,168,1658.9250165892502,1658.9250165892502,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41738-6,172.29.0.20,41738,172.29.0.10,8080,6,03/09/2026 03:06:27,3021,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,97318.76861966237,3310.1621979476995,335.6666666666667,484.674375225264,1412.0,1.0,2563.0,640.75,642.3365550861947,1478.0,19.0,3005.0,751.25,501.04382709166936,1430.0,262.0,0,0,0,0,168,168,1655.0810989738497,1655.0810989738497,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41754-6,172.29.0.20,41754,172.29.0.10,8080,6,03/09/2026 03:06:27,3851,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,76343.80680342768,2596.7281225655674,427.8888888888889,1006.9563600827552,3040.0,1.0,3822.0,955.5,1441.6043146439317,3061.0,7.0,3847.0,961.7499999999999,1422.0718160486833,3040.0,32.0,0,0,0,0,168,168,1298.3640612827837,1298.3640612827837,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41752-6,172.29.0.20,41752,172.29.0.10,8080,6,03/09/2026 03:06:27,4591,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,64038.335874537144,2178.1746896101067,510.1111111111111,865.1322795452214,2524.0,0.0,4523.0,1130.75,1074.8021135694391,2568.0,10.0,4584.0,1146.0,1030.546456982896,2524.0,82.0,0,0,0,0,168,168,1089.0873448050534,1089.0873448050534,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41784-6,172.29.0.20,41784,172.29.0.10,8080,6,03/09/2026 03:06:27,4965,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,59214.501510574024,2014.0986908358511,551.6666666666665,1153.8431435858167,3564.0,1.0,4545.0,1136.25,1649.0414134682408,3578.0,14.0,4954.0,1238.5,1557.7944879433444,3564.0,292.0,0,0,0,0,168,168,1007.0493454179256,1007.0493454179256,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41768-6,172.29.0.20,41768,172.29.0.10,8080,6,03/09/2026 03:06:27,5154,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,57043.0733410943,1940.2405898331394,572.6666666666666,1344.762246644365,4110.0,3.0,5024.0,1256.0,1938.5993225350446,4132.0,7.0,5150.0,1287.5,1897.8810113738252,4110.0,135.0,0,0,0,0,168,168,970.1202949165697,970.1202949165697,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41840-6,172.29.0.20,41840,172.29.0.10,8080,6,03/09/2026 03:06:27,6259,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,46972.359801885286,1597.6993129892955,695.4444444444445,1750.152358447052,5342.0,1.0,5878.0,1469.5,2610.164426493728,5376.0,8.0,6255.0,1563.75,2522.676934660217,5342.0,108.0,0,0,0,0,168,168,798.8496564946478,798.8496564946478,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-41788-6,172.29.0.20,41788,172.29.0.10,8080,6,03/09/2026 03:06:27,6583,5,5,84.0,210.0,84.0,0.0,16.8,37.56594202199647,185.0,0.0,42.0,80.66907709897268,44660.489138690566,1519.0642564180464,731.4444444444445,1669.366430049969,5137.0,1.0,6075.0,1518.75,2431.509596252227,5147.0,12.0,6575.0,1643.75,2333.0355583802548,5137.0,290.0,0,0,0,0,168,168,759.5321282090232,759.5321282090232,0.0,185.0,26.727272727272727,58.350819889854,3404.818181818181,0,0,0,1,0,0,0,0,1.0,29.4,16.8,42.0,0,0,0,0,0,0,5,84,5,210,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
