Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.29.0.10-172.29.0.20-8080-52406-6,172.29.0.20,52406,172.29.0.10,8080,6,03/09/2026 02:54:09,2437,5,5,100.0,225.0,100.0,0.0,20.0,44.721359549995796,192.0,0.0,45.0,83.40863264674707,133360.68937217892,4103.405826836274,270.77777777777777,515.9892871411619,1325.0,4.0,2406.0,601.5,675.4324540618403,1325.0,23.0,2423.0,605.75,674.5345926390037,1341.0,31.0,0,0,0,0,168,168,2051.702913418137,2051.702913418137,0.0,192.0,29.545454545454547,61.92796401685371,3835.072727272727,0,0,0,1,0,0,0,0,1.0,32.5,20.0,45.0,0,0,0,0,0,0,5,100,5,225,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52404-6,172.29.0.20,52404,172.29.0.10,8080,6,03/09/2026 02:54:09,3601,5,5,100.0,225.0,100.0,0.0,20.0,44.721359549995796,192.0,0.0,45.0,83.40863264674707,90252.70758122744,2777.0063871146904,400.1111111111111,542.2256090513534,1318.0,9.0,3408.0,852.0,573.7572076526214,1318.0,28.0,3583.0,895.75,474.33207425459506,1337.0,238.0,0,0,0,0,168,168,1388.5031935573452,1388.5031935573452,0.0,192.0,29.545454545454547,61.92796401685371,3835.072727272727,0,0,0,1,0,0,0,0,1.0,32.5,20.0,45.0,0,0,0,0,0,0,5,100,5,225,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52408-6,172.29.0.20,52408,172.29.0.10,8080,6,03/09/2026 02:54:09,2606,5,5,100.0,225.0,100.0,0.0,20.0,44.721359549995796,192.0,0.0,45.0,83.40863264674707,124712.20260936301,3837.2985418265544,289.55555555555554,537.1897037153427,1604.0,5.0,2464.0,616.0,720.6140899723421,1604.0,10.0,2601.0,650.25,688.944301086815,1617.0,144.0,0,0,0,0,168,168,1918.6492709132772,1918.6492709132772,0.0,192.0,29.545454545454547,61.92796401685371,3835.072727272727,0,0,0,1,0,0,0,0,1.0,32.5,20.0,45.0,0,0,0,0,0,0,5,100,5,225,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52418-6,172.29.0.20,52418,172.29.0.10,8080,6,03/09/2026 02:54:09,2199,5,5,100.0,225.0,100.0,0.0,20.0,44.721359549995796,192.0,0.0,45.0,83.40863264674707,147794.4520236471,4547.521600727603,244.33333333333334,446.83749842644136,1313.0,3.0,1602.0,400.5,617.3688794661854,1313.0,16.0,2191.0,547.75,570.9199447675071,1328.0,32.0,0,0,0,0,168,168,2273.7608003638015,2273.7608003638015,0.0,192.0,29.545454545454547,61.92796401685371,3835.072727272727,0,0,0,1,0,0,0,0,1.0,32.5,20.0,45.0,0,0,0,0,0,0,5,100,5,225,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52422-6,172.29.0.20,52422,172.29.0.10,8080,6,03/09/2026 02:54:09,1962,5,5,100.0,225.0,100.0,0.0,20.0,44.721359549995796,192.0,0.0,45.0,83.40863264674707,165647.2986748216,5096.83995922528,218.0,426.8954790109635,1308.0,5.0,1878.0,469.5,587.0993669445289,1308.0,23.0,1944.0,486.0,571.2168298174229,1319.0,102.0,0,0,0,0,168,168,2548.41997961264,2548.41997961264,0.0,192.0,29.545454545454547,61.92796401685371,3835.072727272727,0,0,0,1,0,0,0,0,1.0,32.5,20.0,45.0,0,0,0,0,0,0,5,100,5,225,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52424-6,172.29.0.20,52424,172.29.0.10,8080,6,03/09/2026 02:54:09,1692,5,5,100.0,225.0,100.0,0.0,20.0,44.721359549995796,192.0,0.0,45.0,83.40863264674707,192080.37825059102,5910.16548463357,188.0,433.0005773668206,1309.0,3.0,1669.0,417.25,613.46468249335,1309.0,9.0,1688.0,422.0,615.0403780782743,1320.0,20.0,0,0,0,0,168,168,2955.082742316785,2955.082742316785,0.0,192.0,29.545454545454547,61.92796401685371,3835.072727272727,0,0,0,1,0,0,0,0,1.0,32.5,20.0,45.0,0,0,0,0,0,0,5,100,5,225,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52430-6,172.29.0.20,52430,172.29.0.10,8080,6,03/09/2026 02:54:09,1903,5,5,100.0,225.0,100.0,0.0,20.0,44.721359549995796,192.0,0.0,45.0,83.40863264674707,170782.97425118234,5254.860746190226,211.44444444444449,428.42330442889977,1292.0,5.0,1840.0,460.0,593.7120514188675,1292.0,11.0,1898.0,474.50000000000006,578.2055574505201,1303.0,69.0,0,0,0,0,168,168,2627.430373095113,2627.430373095113,0.0,192.0,29.545454545454547,61.92796401685371,3835.072727272727,0,0,0,1,0,0,0,0,1.0,32.5,20.0,45.0,0,0,0,0,0,0,5,100,5,225,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-52442-6,172.29.0.20,52442,172.29.0.10,8080,6,03/09/2026 02:54:09,1677,5,5,100.0,225.0,100.0,0.0,20.0,44.721359549995796,192.0,0.0,45.0,83.40863264674707,193798.44961240308,5963.029218843172,186.33333333333334,427.32628049302093,1303.0,5.0,1639.0,409.75,609.0289401990681,1303.0,10.0,1672.0,418.0,607.4575430980067,1315.0,43.0,0,0,0,0,168,168,2981.514609421586,2981.514609421586,0.0,192.0,29.545454545454547,61.92796401685371,3835.072727272727,0,0,0,1,0,0,0,0,1.0,32.5,20.0,45.0,0,0,0,0,0,0,5,100,5,225,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-53578-6,172.29.0.20,53578,172.29.0.10,8080,6,03/09/2026 02:54:14,2748,9,10,100.0,65739.0,100.0,0.0,11.11111111111111,33.333333333333336,19200.0,0.0,6573.9,7219.436827066222,2.3958879184861716E7,6914.1193595342065,152.66666666666666,385.6333217235375,1392.0,1.0,2581.0,322.625,551.4616778551862,1392.0,4.0,2735.0,303.8888888888889,521.389596282004,1412.0,3.0,0,0,0,0,296,328,3275.109170305677,3639.0101892285297,0.0,19200.0,3291.9500000000003,6002.25978913907,3.602712257631579E7,0,0,0,1,0,0,0,0,1.0,3465.2105263157896,11.11111111111111,6573.9,0,0,0,0,0,0,9,100,10,65739,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-53576-6,172.29.0.20,53576,172.29.0.10,8080,6,03/09/2026 02:54:14,2982,9,10,100.0,65739.0,100.0,0.0,11.11111111111111,33.333333333333336,19200.0,0.0,6573.9,7219.436827066222,2.207880617035547E7,6371.5627095908785,165.66666666666663,368.86056667399237,1405.0,1.0,2757.0,344.625,518.1775585094912,1405.0,3.0,2968.0,329.77777777777777,486.8928983302636,1424.0,4.0,0,0,0,0,296,328,3018.1086519114688,3353.4540576794097,0.0,19200.0,3291.9500000000003,6002.25978913907,3.602712257631579E7,0,0,0,1,0,0,0,0,1.0,3465.2105263157896,11.11111111111111,6573.9,0,0,0,0,0,0,9,100,10,65739,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-53576-6,172.29.0.20,53576,172.29.0.10,8080,6,03/09/2026 02:54:14,643,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3110.4199066874025,643.0,0.0,643.0,643.0,643.0,643.0,0.0,643.0,643.0,0,0,0,0,0,0,0,0,0,64,0,3110.4199066874025,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,92,-1,0,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-53578-6,172.29.0.20,53578,172.29.0.10,8080,6,03/09/2026 02:54:14,642,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3115.264797507788,642.0,0.0,642.0,642.0,642.0,642.0,0.0,642.0,642.0,0,0,0,0,0,0,0,0,0,64,0,3115.264797507788,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,92,-1,0,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-53588-6,172.29.0.20,53588,172.29.0.10,8080,6,03/09/2026 02:54:14,1611,9,10,100.0,65739.0,100.0,0.0,11.11111111111111,33.333333333333336,19200.0,0.0,6573.9,7219.436827066222,4.086840471756673E7,11793.916821849783,89.49999999999999,301.3593223652963,1283.0,1.0,1571.0,196.375,444.52862273263287,1283.0,3.0,1606.0,178.44444444444446,422.4932280851112,1293.0,3.0,0,0,0,0,296,328,5586.592178770949,6207.324643078833,0.0,19200.0,3291.9500000000003,6002.25978913907,3.602712257631579E7,0,0,0,1,0,0,0,0,1.0,3465.2105263157896,11.11111111111111,6573.9,0,0,0,0,0,0,9,100,10,65739,64240,64,1,32,0,0,0,0,0,0,0,0,No Label
172.29.0.10-172.29.0.20-8080-53588-6,172.29.0.20,53588,172.29.0.10,8080,6,03/09/2026 02:54:14,1542,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1297.0168612191958,1542.0,0.0,1542.0,1542.0,1542.0,1542.0,0.0,1542.0,1542.0,0,0,0,0,0,0,0,0,0,64,0,1297.0168612191958,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,92,-1,0,32,0,0,0,0,0,0,0,0,No Label
