Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.2-10.10.20.2-56452-8080-6,10.10.10.2,56452,10.10.20.2,8080,6,09/09/2026 08:20:01,14415,3,4,79.0,220.0,79.0,0.0,26.333333333333332,45.61067126598043,185.0,0.0,55.0,88.22320178577364,20742.282344779742,485.6052722858134,2402.5,4769.161802665119,12116.0,115.0,1718.0,859.0,1052.1748904055828,1603.0,115.0,13451.0,4483.666666666666,6630.021895388682,12116.0,150.0,0,0,0,0,104,136,208.11654526534858,277.4887270204648,0.0,185.0,37.375,66.02583368868366,4359.410714285715,0,0,0,1,0,0,0,0,1.0,42.714285714285715,26.333333333333332,55.0,0,0,0,0,0,0,3,79,4,220,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-56452-8080-6,10.10.10.2,56452,10.10.20.2,8080,6,09/09/2026 08:20:01,182,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,10989.010989010989,182.0,0.0,182.0,182.0,182.0,182.0,0.0,182.0,182.0,0,0,0,0,0,0,0,0,0,64,0,10989.010989010989,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-56456-8080-6,10.10.10.2,56456,10.10.20.2,8080,6,09/09/2026 08:20:02,3329,3,4,93.0,239.0,93.0,0.0,31.0,53.693575034635195,200.0,0.0,59.75,95.29034578591894,99729.64854310604,2102.7335536197056,554.8333333333333,539.3119381829654,1607.0,133.0,1130.0,565.0,610.9402589451771,997.0,133.0,2770.0,923.3333333333333,708.7032759437009,1607.0,192.0,0,0,0,0,104,136,901.1715229798739,1201.5620306398318,0.0,200.0,41.5,72.10310078531397,5198.857142857143,0,0,0,1,0,0,0,0,1.0,47.42857142857143,31.0,59.75,0,0,0,0,0,0,3,93,4,239,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-56456-8080-6,10.10.10.2,56456,10.10.20.2,8080,6,09/09/2026 08:20:02,180,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11111.111111111111,180.0,0.0,180.0,180.0,180.0,180.0,0.0,180.0,180.0,0,0,0,0,0,0,0,0,0,64,0,11111.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-56464-8080-6,10.10.10.2,56464,10.10.20.2,8080,6,09/09/2026 08:20:03,2562,3,4,91.0,239.0,91.0,0.0,30.333333333333332,52.53887449625594,200.0,0.0,59.75,95.29034578591894,128805.62060889929,2732.24043715847,427.00000000000006,490.0640774429401,1383.0,1.0,930.0,465.0,412.95036021294374,757.0,173.0,2138.0,712.6666666666667,691.9265375264439,1383.0,1.0,0,0,0,0,104,136,1170.9601873536299,1561.28024980484,0.0,200.0,41.25,71.90221534437289,5169.9285714285725,0,0,0,1,0,0,0,0,1.0,47.142857142857146,30.333333333333332,59.75,0,0,0,0,0,0,3,91,4,239,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-56464-8080-6,10.10.10.2,56464,10.10.20.2,8080,6,09/09/2026 08:20:03,164,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12195.121951219511,164.0,0.0,164.0,164.0,164.0,164.0,0.0,164.0,164.0,0,0,0,0,0,0,0,0,0,64,0,12195.121951219511,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-56478-8080-6,10.10.10.2,56478,10.10.20.2,8080,6,09/09/2026 08:20:04,2816,3,4,79.0,220.0,79.0,0.0,26.333333333333332,45.61067126598043,185.0,0.0,55.0,88.22320178577364,106178.97727272728,2485.7954545454545,469.33333333333337,523.4583714744341,1431.0,0.0,1025.0,512.5,703.5712472806148,1010.0,15.0,2266.0,755.3333333333333,718.8187068610091,1431.0,0.0,0,0,0,0,104,136,1065.340909090909,1420.4545454545455,0.0,185.0,37.375,66.02583368868366,4359.410714285715,0,0,0,1,0,0,0,0,1.0,42.714285714285715,26.333333333333332,55.0,0,0,0,0,0,0,3,79,4,220,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-56478-8080-6,10.10.10.2,56478,10.10.20.2,8080,6,09/09/2026 08:20:04,115,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17391.304347826088,115.0,0.0,115.0,115.0,115.0,115.0,0.0,115.0,115.0,0,0,0,0,0,0,0,0,0,64,0,17391.304347826088,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-54270-8080-6,10.10.10.2,54270,10.10.20.2,8080,6,09/09/2026 08:20:05,1531,3,4,93.0,239.0,93.0,0.0,31.0,53.693575034635195,200.0,0.0,59.75,95.29034578591894,216851.73089483997,4572.175048987589,255.16666666666666,211.95038727651965,536.0,0.0,670.0,335.0,463.86204845837517,663.0,7.0,1164.0,388.0,339.1518833797035,628.0,0.0,0,0,0,0,104,136,1959.5035924232527,2612.671456564337,0.0,200.0,41.5,72.10310078531397,5198.857142857143,0,0,0,1,0,0,0,0,1.0,47.42857142857143,31.0,59.75,0,0,0,0,0,0,3,93,4,239,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-54270-8080-6,10.10.10.2,54270,10.10.20.2,8080,6,09/09/2026 08:20:05,204,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9803.921568627451,204.0,0.0,204.0,204.0,204.0,204.0,0.0,204.0,204.0,0,0,0,0,0,0,0,0,0,64,0,9803.921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
