Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.2-10.10.20.2-54606-80-6,10.10.10.2,54606,10.10.20.2,80,6,09/09/2026 08:55:20,734,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2724.7956403269754,734.0,0.0,734.0,734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,1362.3978201634877,1362.3978201634877,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,0,0,40,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-53038-443-6,10.10.10.2,53038,10.10.20.2,443,6,09/09/2026 08:55:20,792,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2525.2525252525256,792.0,0.0,792.0,792.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,1262.6262626262628,1262.6262626262628,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,0,0,40,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-36956-8000-6,10.10.10.2,36956,10.10.20.2,8000,6,09/09/2026 08:55:20,1781,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.9646266142615,1781.0,0.0,1781.0,1781.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,561.4823133071308,561.4823133071308,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,0,0,40,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-35452-8001-6,10.10.10.2,35452,10.10.20.2,8001,6,09/09/2026 08:55:20,1715,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.1807580174927,1715.0,0.0,1715.0,1715.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,583.0903790087464,583.0903790087464,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,0,0,40,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-52344-110-6,10.10.10.2,52344,10.10.20.2,110,6,09/09/2026 08:55:20,827,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418.3796856106405,827.0,0.0,827.0,827.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,1209.1898428053203,1209.1898428053203,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,0,0,40,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-59472-8007-6,10.10.10.2,59472,10.10.20.2,8007,6,09/09/2026 08:55:20,1547,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292.824822236587,1547.0,0.0,1547.0,1547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,646.4124111182934,646.4124111182934,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,0,0,40,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-41250-53-6,10.10.10.2,41250,10.10.20.2,53,6,09/09/2026 08:55:20,809,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2472.187886279357,809.0,0.0,809.0,809.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,1236.0939431396785,1236.0939431396785,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,0,0,40,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-51544-8080-6,10.10.10.2,51544,10.10.20.2,8080,6,09/09/2026 08:55:20,1760,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.7272727272725,586.6666666666666,273.7048288454797,871.0,325.0,1760.0,880.0,446.89148570989806,1196.0,564.0,0,0,0,0,0,0,0,0,0,104,40,1704.5454545454545,568.1818181818181,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,64240,65160,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-52218-25-6,10.10.10.2,52218,10.10.20.2,25,6,09/09/2026 08:55:20,696,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2873.5632183908046,696.0,0.0,696.0,696.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,1436.7816091954023,1436.7816091954023,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,64240,0,0,40,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,09/09/2026 08:55:25,38174,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,104.7833604023681,12724.666666666668,21085.52774614222,37065.0,44.0,38174.0,12724.666666666668,21085.52774614222,37065.0,44.0,0,0,0,0,0,0,0,0,0,0,0,104.7833604023681,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
