Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.2-10.10.20.2-52460-8080-6,10.10.10.2,52460,10.10.20.2,8080,6,16/09/2026 05:50:25,6641,3,4,156.0,220.0,156.0,0.0,52.0,90.06664199358161,185.0,0.0,55.0,88.22320178577364,56617.97921999699,1054.0581237765396,1106.8333333333335,1972.0484189458095,5095.0,0.0,1214.0,607.0,728.3199846221439,1122.0,92.0,5870.0,1956.6666666666665,2745.3612391329,5095.0,0.0,0,0,0,0,104,136,451.7391959042313,602.3189278723083,0.0,185.0,47.0,77.56471952044767,6016.285714285715,0,0,0,1,0,0,0,0,1.0,53.714285714285715,52.0,55.0,0,0,0,0,0,0,3,156,4,220,64240,254,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-52460-8080-6,10.10.10.2,52460,10.10.20.2,8080,6,16/09/2026 05:50:25,248,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8064.516129032258,248.0,0.0,248.0,248.0,248.0,248.0,0.0,248.0,248.0,0,0,0,0,0,0,0,0,0,64,0,8064.516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-52462-8080-6,10.10.10.2,52462,10.10.20.2,8080,6,16/09/2026 05:50:26,5800,3,4,156.0,220.0,156.0,0.0,52.0,90.06664199358161,185.0,0.0,55.0,88.22320178577364,64827.58620689656,1206.896551724138,966.6666666666666,880.3164582504786,2676.0,185.0,2152.0,1076.0,910.7535341682732,1720.0,432.0,4917.0,1639.0,1296.7987507705272,2676.0,185.0,0,0,0,0,104,136,517.2413793103449,689.6551724137931,0.0,185.0,47.0,77.56471952044767,6016.285714285715,0,0,0,1,0,0,0,0,1.0,53.714285714285715,52.0,55.0,0,0,0,0,0,0,3,156,4,220,64240,254,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-52462-8080-6,10.10.10.2,52462,10.10.20.2,8080,6,16/09/2026 05:50:26,1006,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1988.0715705765408,1006.0,0.0,1006.0,1006.0,1006.0,1006.0,0.0,1006.0,1006.0,0,0,0,0,0,0,0,0,0,64,0,1988.0715705765408,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-41474-8080-6,10.10.10.2,41474,10.10.20.2,8080,6,16/09/2026 05:50:27,4851,3,4,156.0,220.0,156.0,0.0,52.0,90.06664199358161,185.0,0.0,55.0,88.22320178577364,77509.79179550608,1443.001443001443,808.5,789.674046680021,2289.0,0.0,1944.0,972.0,917.8246019801387,1621.0,323.0,4027.0,1342.3333333333335,1194.6942426132862,2289.0,0.0,0,0,0,0,104,136,618.4291898577612,824.5722531436817,0.0,185.0,47.0,77.56471952044767,6016.285714285715,0,0,0,1,0,0,0,0,1.0,53.714285714285715,52.0,55.0,0,0,0,0,0,0,3,156,4,220,64240,254,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-41474-8080-6,10.10.10.2,41474,10.10.20.2,8080,6,16/09/2026 05:50:27,1843,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1085.1871947911015,1843.0,0.0,1843.0,1843.0,1843.0,1843.0,0.0,1843.0,1843.0,0,0,0,0,0,0,0,0,0,64,0,1085.1871947911015,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-41476-8080-6,10.10.10.2,41476,10.10.20.2,8080,6,16/09/2026 05:50:27,5219,3,4,156.0,220.0,156.0,0.0,52.0,90.06664199358161,185.0,0.0,55.0,88.22320178577364,72044.45296033724,1341.2531136232997,869.8333333333334,489.40143713179543,1725.0,389.0,2228.0,1114.0,1004.0916292848975,1824.0,404.0,4392.0,1464.0,971.1699130430267,2278.0,389.0,0,0,0,0,104,136,574.8227629814141,766.4303506418854,0.0,185.0,47.0,77.56471952044767,6016.285714285715,0,0,0,1,0,0,0,0,1.0,53.714285714285715,52.0,55.0,0,0,0,0,0,0,3,156,4,220,64240,254,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-41476-8080-6,10.10.10.2,41476,10.10.20.2,8080,6,16/09/2026 05:50:27,1234,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1620.7455429497568,1234.0,0.0,1234.0,1234.0,1234.0,1234.0,0.0,1234.0,1234.0,0,0,0,0,0,0,0,0,0,64,0,1620.7455429497568,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-41488-8080-6,10.10.10.2,41488,10.10.20.2,8080,6,16/09/2026 05:50:28,2371,3,4,156.0,220.0,156.0,0.0,52.0,90.06664199358161,185.0,0.0,55.0,88.22320178577364,158582.87642345004,2952.3407844791227,395.1666666666667,421.5112888958808,1202.0,1.0,906.0,453.0,401.636651713959,737.0,169.0,1926.0,642.0,604.5833275901676,1202.0,1.0,0,0,0,0,104,136,1265.2889076339097,1687.0518768452132,0.0,185.0,47.0,77.56471952044767,6016.285714285715,0,0,0,1,0,0,0,0,1.0,53.714285714285715,52.0,55.0,0,0,0,0,0,0,3,156,4,220,64240,254,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-41488-8080-6,10.10.10.2,41488,10.10.20.2,8080,6,16/09/2026 05:50:28,1071,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1867.4136321195147,1071.0,0.0,1071.0,1071.0,1071.0,1071.0,0.0,1071.0,1071.0,0,0,0,0,0,0,0,0,0,64,0,1867.4136321195147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
