destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length.1,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
8080.0,5244.0,3.0,4.0,156.0,220.0,156.0,0.0,52.0,90.06664,185.0,0.0,55.0,88.223206,71700.99,1334.8589,874.0,1365.483,3633.0,121.0,1010.0,505.0,543.058,889.0,121.0,4573.0,1524.3334,1843.7386,3633.0,216.0,0.0,0.0,0.0,0.0,104.0,136.0,572.0824,762.7765,0.0,185.0,47.0,77.56472,6016.2856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.714287,52.0,55.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,156.0,4.0,220.0,64240.0,254.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,458.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4366.812,458.0,0.0,458.0,458.0,458.0,458.0,0.0,458.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,4366.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,4785.0,3.0,4.0,156.0,220.0,156.0,0.0,52.0,90.06664,185.0,0.0,55.0,88.223206,78578.89,1462.9049,797.5,514.88904,1780.0,360.0,2012.0,1006.0,824.4865,1589.0,423.0,3963.0,1321.0,832.5281,1823.0,360.0,0.0,0.0,0.0,0.0,104.0,136.0,626.9592,835.9457,0.0,185.0,47.0,77.56472,6016.2856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.714287,52.0,55.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,156.0,4.0,220.0,64240.0,254.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,1215.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1646.0906,1215.0,0.0,1215.0,1215.0,1215.0,1215.0,0.0,1215.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,1646.0906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,6975.0,3.0,4.0,156.0,220.0,156.0,0.0,52.0,90.06664,185.0,0.0,55.0,88.223206,53906.81,1003.5842,1162.5,1661.7651,4495.0,0.0,1847.0,923.5,847.82104,1523.0,324.0,6063.0,2021.0,2281.4827,4495.0,0.0,0.0,0.0,0.0,0.0,104.0,136.0,430.1075,573.4767,0.0,185.0,47.0,77.56472,6016.2856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.714287,52.0,55.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,156.0,4.0,220.0,64240.0,254.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,777.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2574.0027,777.0,0.0,777.0,777.0,777.0,777.0,0.0,777.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,2574.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,4422.0,3.0,4.0,156.0,220.0,156.0,0.0,52.0,90.06664,185.0,0.0,55.0,88.223206,85029.4,1582.9941,737.0,499.68912,1669.0,240.0,1708.0,854.0,868.32715,1468.0,240.0,3613.0,1204.3334,698.5538,1669.0,401.0,0.0,0.0,0.0,0.0,104.0,136.0,678.426,904.56805,0.0,185.0,47.0,77.56472,6016.2856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.714287,52.0,55.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,156.0,4.0,220.0,64240.0,254.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,962.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2079.0022,962.0,0.0,962.0,962.0,962.0,962.0,0.0,962.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,2079.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,6836.0,3.0,4.0,156.0,220.0,156.0,0.0,52.0,90.06664,185.0,0.0,55.0,88.223206,55002.926,1023.99066,1139.3334,1289.0961,3684.0,277.0,2383.0,1191.5,81.31728,1249.0,1134.0,6226.0,2075.3333,1711.4006,3684.0,277.0,0.0,0.0,0.0,0.0,104.0,136.0,438.85312,585.1375,0.0,185.0,47.0,77.56472,6016.2856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.714287,52.0,55.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,156.0,4.0,220.0,64240.0,254.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,798.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506.2656,798.0,0.0,798.0,798.0,798.0,798.0,0.0,798.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,2506.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,4821.0,3.0,4.0,156.0,220.0,156.0,0.0,52.0,90.06664,185.0,0.0,55.0,88.223206,77992.12,1451.981,803.5,509.20792,1414.0,1.0,2433.0,1216.5,1065.6099,1970.0,463.0,3650.0,1216.6666,1129.9974,2235.0,1.0,0.0,0.0,0.0,0.0,104.0,136.0,622.2775,829.70337,0.0,185.0,47.0,77.56472,6016.2856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.714287,52.0,55.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,156.0,4.0,220.0,64240.0,254.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,1057.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.1476,1057.0,0.0,1057.0,1057.0,1057.0,1057.0,0.0,1057.0,1057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,1892.1476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,4191.0,3.0,4.0,156.0,220.0,156.0,0.0,52.0,90.06664,185.0,0.0,55.0,88.223206,89716.055,1670.2457,698.5,422.7925,1493.0,307.0,1784.0,892.0,711.3494,1395.0,389.0,3443.0,1147.6666,731.8916,1643.0,307.0,0.0,0.0,0.0,0.0,104.0,136.0,715.81964,954.42615,0.0,185.0,47.0,77.56472,6016.2856,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53.714287,52.0,55.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,156.0,4.0,220.0,64240.0,254.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
