candidate_row_index,ground_truth_class,origin_group,source_experiment,source_role,source_session_id,source_capture_id,source_row_index,source_row_identity,adapted_artifact,adapted_artifact_sha256,historical_source_csv,historical_source_csv_sha256,raw_extraction,raw_extraction_sha256,pcap,pcap_sha256,transformation
0,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,0,082f633dc693d9ffd991061d0766c9ced2856d71b395f8621d4b87e22410b5c9,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
1,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,3,329bbb2a61ee99b33ccac4a84311955a65c29d86fe208fc1883fe581b0b4b284,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
2,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,6,6c531996f10bb26480b002b95bd1d8b4290c558547da0b4d806ae9e23d5f73d0,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
3,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,7,d1e6a56a4d31e3a7c7694fa1d74a0e2db25ba72d4bc12ef6c71e63bbcd3649d5,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
4,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,11,8f19359b3684680b906d4d6ab90a5266a3b89fafb7a7bd65e391b19bc818f4be,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
5,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,15,6e102c8d5d43224214dc6be13202a63ff2c61495b4269db408db3fd1278aeafe,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
6,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,16,d2a67db39100ebca8a6da2124394f62953f57cdbbac0760b8a3585c3c2caa1a3,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
7,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,22,7afdcd34315a8e3f603a05b980c07941131ae0552e602bcaafe39b0a9e239b43,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
8,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,24,915b376b000f00e1913b3f3badfef1c6d1924b3ba7f4695f448443c56db1f29c,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
9,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,26,53fec66697049dc659bbba4e4d187cc3d2617110d00cb7412c2d2d22bd110bae,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
10,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,29,63b205d41267ea9f7d3373ae8e94c22a218bbc3443d111c08ccc3ab53ac886d7,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
