Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.2-10.10.20.2-43172-8080-6,10.10.10.2,43172,10.10.20.2,8080,6,17/09/2026 04:05:54,26533,4,5,111.0,220.0,111.0,0.0,27.75,55.5,185.0,0.0,44.0,80.26518547913534,12475.031093355443,339.2002412090604,3316.6249999999995,7869.915173576251,22731.0,67.0,26113.0,8704.333333333332,12722.477366194578,23338.0,268.0,24469.0,6117.25,11083.584028493071,22731.0,67.0,0,0,0,0,136,168,150.7556627595824,188.444578449478,0.0,185.0,33.1,63.957364270617376,4090.544444444444,0,0,0,1,0,0,0,0,1.0,36.77777777777778,27.75,44.0,0,0,0,0,0,0,4,111,5,220,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43172-8080-6,10.10.10.2,43172,10.10.20.2,8080,6,17/09/2026 04:05:54,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,64,0,285714.28571428574,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43186-8080-6,10.10.10.2,43186,10.10.20.2,8080,6,17/09/2026 04:05:55,2906,3,4,111.0,220.0,111.0,0.0,37.0,64.08587988004847,185.0,0.0,55.0,88.22320178577364,113902.2711631108,2408.809359944941,484.33333333333337,388.284775218739,1112.0,0.0,1390.0,695.0,721.2489168102785,1205.0,185.0,2278.0,759.3333333333333,658.1560098740521,1166.0,0.0,0,0,0,0,104,136,1032.346868547832,1376.4624913971093,0.0,185.0,41.375,69.7709262003676,4867.982142857142,0,0,0,1,0,0,0,0,1.0,47.285714285714285,37.0,55.0,0,0,0,0,0,0,3,111,4,220,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43186-8080-6,10.10.10.2,43186,10.10.20.2,8080,6,17/09/2026 04:05:55,146,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,13698.630136986301,146.0,0.0,146.0,146.0,146.0,146.0,0.0,146.0,146.0,0,0,0,0,0,0,0,0,0,64,0,13698.630136986301,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43196-8080-6,10.10.10.2,43196,10.10.20.2,8080,6,17/09/2026 04:05:56,3498,3,4,111.0,220.0,111.0,0.0,37.0,64.08587988004847,185.0,0.0,55.0,88.22320178577364,94625.50028587764,2001.1435105774729,583.0,616.0879807300253,1806.0,173.0,1146.0,573.0,565.685424949238,973.0,173.0,2967.0,989.0,815.5041385547961,1806.0,175.0,0,0,0,0,104,136,857.6329331046313,1143.5105774728418,0.0,185.0,41.375,69.7709262003676,4867.982142857142,0,0,0,1,0,0,0,0,1.0,47.285714285714285,37.0,55.0,0,0,0,0,0,0,3,111,4,220,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43196-8080-6,10.10.10.2,43196,10.10.20.2,8080,6,17/09/2026 04:05:56,110,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,18181.81818181818,110.0,0.0,110.0,110.0,110.0,110.0,0.0,110.0,110.0,0,0,0,0,0,0,0,0,0,64,0,18181.81818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43208-8080-6,10.10.10.2,43208,10.10.20.2,8080,6,17/09/2026 04:05:57,9708,3,4,111.0,220.0,111.0,0.0,37.0,64.08587988004847,185.0,0.0,55.0,88.22320178577364,34095.591264936134,721.0548001648126,1618.0,2530.9000770476896,6612.0,0.0,2681.0,1340.5,1628.466917072619,2492.0,189.0,7869.0,2623.0,3511.2822444229687,6612.0,0.0,0,0,0,0,104,136,309.02348578491967,412.0313143798929,0.0,185.0,41.375,69.7709262003676,4867.982142857142,0,0,0,1,0,0,0,0,1.0,47.285714285714285,37.0,55.0,0,0,0,0,0,0,3,111,4,220,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43208-8080-6,10.10.10.2,43208,10.10.20.2,8080,6,17/09/2026 04:05:57,228,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8771.929824561403,228.0,0.0,228.0,228.0,228.0,228.0,0.0,228.0,228.0,0,0,0,0,0,0,0,0,0,64,0,8771.929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43210-8080-6,10.10.10.2,43210,10.10.20.2,8080,6,17/09/2026 04:05:58,7028,3,4,111.0,220.0,111.0,0.0,37.0,64.08587988004847,185.0,0.0,55.0,88.22320178577364,47097.3249857712,996.01593625498,1171.3333333333333,1109.3110775011069,2651.0,0.0,1911.0,955.5,409.414826307011,1245.0,666.0,6236.0,2078.666666666667,1914.6136250777422,3770.0,0.0,0,0,0,0,104,136,426.86397268070573,569.1519635742743,0.0,185.0,41.375,69.7709262003676,4867.982142857142,0,0,0,1,0,0,0,0,1.0,47.285714285714285,37.0,55.0,0,0,0,0,0,0,3,111,4,220,64240,255,1,32,0,0,0,0,0,0,0,0,No Label
10.10.10.2-10.10.20.2-43210-8080-6,10.10.10.2,43210,10.10.20.2,8080,6,17/09/2026 04:05:58,117,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17094.017094017094,117.0,0.0,117.0,117.0,117.0,117.0,0.0,117.0,117.0,0,0,0,0,0,0,0,0,0,64,0,17094.017094017094,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,No Label
