monitoring_session_id,id,prediction_id,severity,title,description,status,acknowledged_at,created_at,acknowledged_by_user_id
20,1807,7138,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7587.,ACTIVE,,2026-09-17 09:14:28.185217+00,
20,1808,7139,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7580.,ACTIVE,,2026-09-17 09:14:41.291866+00,
20,1809,7140,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7580.,ACTIVE,,2026-09-17 09:14:41.291867+00,
20,1810,7141,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7564.,ACTIVE,,2026-09-17 09:14:41.291868+00,
20,1811,7142,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7546.,ACTIVE,,2026-09-17 09:14:41.291868+00,
20,1812,7143,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7587.,ACTIVE,,2026-09-17 09:14:41.291868+00,
20,1813,7144,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7560.,ACTIVE,,2026-09-17 09:14:41.291868+00,
20,1814,7145,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.5217.,ACTIVE,,2026-09-17 09:14:41.291868+00,
20,1815,7146,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7573.,ACTIVE,,2026-09-17 09:14:41.291869+00,
20,1816,7147,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7581.,ACTIVE,,2026-09-17 09:14:41.291869+00,
20,1817,7148,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7560.,ACTIVE,,2026-09-17 09:14:41.291869+00,
20,1818,7149,MEDIUM,MEDIUM severity PortScan detected,RF-NIDS classified this flow as PortScan with confidence 0.7581.,ACTIVE,,2026-09-17 09:14:41.291869+00,
21,1819,7196,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7931.,ACTIVE,,2026-09-17 09:35:40.527609+00,
21,1820,7197,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.8231.,ACTIVE,,2026-09-17 09:35:40.52761+00,
21,1821,7200,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9960.,ACTIVE,,2026-09-17 09:35:40.527611+00,
21,1822,7201,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9874.,ACTIVE,,2026-09-17 09:35:40.527611+00,
21,1823,7202,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7452.,ACTIVE,,2026-09-17 09:35:40.527611+00,
21,1824,7203,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9930.,ACTIVE,,2026-09-17 09:35:40.527611+00,
21,1825,7204,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.8645.,ACTIVE,,2026-09-17 09:35:40.527612+00,
21,1826,7205,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9960.,ACTIVE,,2026-09-17 09:35:40.527612+00,
21,1827,7207,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9808.,ACTIVE,,2026-09-17 09:35:40.527612+00,
21,1828,7208,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9635.,ACTIVE,,2026-09-17 09:35:40.527612+00,
21,1829,7209,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7518.,ACTIVE,,2026-09-17 09:35:40.527613+00,
21,1830,7210,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9690.,ACTIVE,,2026-09-17 09:35:40.527613+00,
21,1831,7212,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9960.,ACTIVE,,2026-09-17 09:35:40.527613+00,
21,1832,7213,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7791.,ACTIVE,,2026-09-17 09:35:40.527613+00,
21,1833,7214,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9956.,ACTIVE,,2026-09-17 09:35:40.527614+00,
21,1834,7216,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9910.,ACTIVE,,2026-09-17 09:35:40.527614+00,
21,1835,7218,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9913.,ACTIVE,,2026-09-17 09:35:40.527614+00,
21,1836,7219,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7440.,ACTIVE,,2026-09-17 09:35:40.527614+00,
21,1837,7220,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9824.,ACTIVE,,2026-09-17 09:35:40.527614+00,
21,1838,7221,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7668.,ACTIVE,,2026-09-17 09:35:40.527615+00,
21,1839,7222,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9386.,ACTIVE,,2026-09-17 09:35:40.527615+00,
21,1840,7224,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9913.,ACTIVE,,2026-09-17 09:35:40.527615+00,
21,1841,7225,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7752.,ACTIVE,,2026-09-17 09:35:40.527615+00,
21,1842,7226,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9960.,ACTIVE,,2026-09-17 09:35:40.527615+00,
21,1843,7227,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7169.,ACTIVE,,2026-09-17 09:35:40.527616+00,
21,1844,7228,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9960.,ACTIVE,,2026-09-17 09:35:40.527616+00,
21,1845,7229,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.5448.,ACTIVE,,2026-09-17 09:35:40.527616+00,
21,1846,7230,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9960.,ACTIVE,,2026-09-17 09:35:40.527616+00,
21,1847,7231,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.7474.,ACTIVE,,2026-09-17 09:35:40.527617+00,
21,1848,7232,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.9960.,ACTIVE,,2026-09-17 09:35:40.527617+00,
21,1849,7233,HIGH,HIGH severity DDoS detected,RF-NIDS classified this flow as DDoS with confidence 0.8477.,ACTIVE,,2026-09-17 09:35:40.527617+00,
