record_type,strategy,component,class,flow_count
planned,D3-A,adaptation_training,Normal,13
planned,D3-A,combined_with_cicids2017_training,Normal,1677198
planned,D3-A,adaptation_training,DDoS,3606
planned,D3-A,combined_with_cicids2017_training,DDoS,106019
planned,D3-A,adaptation_training,PortScan,1173
planned,D3-A,combined_with_cicids2017_training,PortScan,73828
planned,D3-B,adaptation_training,Normal,13
planned,D3-B,combined_with_cicids2017_training,Normal,1677198
planned,D3-B,adaptation_training,DDoS,1173
planned,D3-B,combined_with_cicids2017_training,DDoS,103586
planned,D3-B,adaptation_training,PortScan,1173
planned,D3-B,combined_with_cicids2017_training,PortScan,73828
planned,D3-C,adaptation_training,Normal,13
planned,D3-C,combined_with_cicids2017_training,Normal,1677198
planned,D3-C,adaptation_training,DDoS,1200
planned,D3-C,combined_with_cicids2017_training,DDoS,103613
planned,D3-C,adaptation_training,PortScan,1113
planned,D3-C,combined_with_cicids2017_training,PortScan,73768
planned,D3-D,adaptation_training,Normal,13
planned,D3-D,combined_with_cicids2017_training,Normal,1677198
planned,D3-D,adaptation_training,DDoS,13
planned,D3-D,combined_with_cicids2017_training,DDoS,102426
planned,D3-D,adaptation_training,PortScan,13
planned,D3-D,combined_with_cicids2017_training,PortScan,72668
