dataset,metric,rf_v1,rf_v2,rf_v2_minus_rf_v1
adaptation_validation,accuracy,0.003214535290006988,0.4912648497554158,0.4880503144654088
adaptation_validation,macro_precision,0.0010715117633356627,0.667274443394076,0.6662029316307404
adaptation_validation,macro_recall,0.3333333333333333,0.6723519563995405,0.33901862306620717
adaptation_validation,macro_f1,0.002136156775332033,0.532874549541259,0.5307383927659269
adaptation_validation,Normal_recall,1.0,0.6521739130434783,-0.34782608695652173
adaptation_validation,DDoS_recall,0.0,0.48988195615514335,0.48988195615514335
adaptation_validation,PortScan_recall,0.0,0.875,0.875
cicids2017_internal_control,accuracy,0.9995767314598661,0.9995788909932342,2.1595333680179962e-06
cicids2017_internal_control,macro_precision,0.9966198626170861,0.9966328788910729,1.3016273986754534e-05
cicids2017_internal_control,macro_recall,0.9997021722873057,0.9997029672706429,7.949833371601045e-07
cicids2017_internal_control,macro_f1,0.9981532930510797,0.9981601992293446,6.906178264931562e-06
cicids2017_internal_control,Normal_recall,0.9995540143478593,0.9995563992978708,2.3849500114803135e-06
cicids2017_internal_control,DDoS_recall,0.999882826231301,0.999882826231301,0.0
cicids2017_internal_control,PortScan_recall,0.999669676282757,0.999669676282757,0.0
