comparison,feature,E13-D1_min,E13-D1_q1,E13-D1_median,E13-D1_mean,E13-D1_q3,E13-D1_max,E13-D1_std,E4-frozen-DDoS_min,E4-frozen-DDoS_q1,E4-frozen-DDoS_median,E4-frozen-DDoS_mean,E4-frozen-DDoS_q3,E4-frozen-DDoS_max,E4-frozen-DDoS_std,absolute_median_difference,pooled_standardized_median_difference,robust_median_distance,E13-D2_min,E13-D2_q1,E13-D2_median,E13-D2_mean,E13-D2_q3,E13-D2_max,E13-D2_std,E10-Session-11_min,E10-Session-11_q1,E10-Session-11_median,E10-Session-11_mean,E10-Session-11_q3,E10-Session-11_max,E10-Session-11_std
E13-D1 vs E4-frozen-DDoS,destination_port,8080.0,8080.0,8080.0,8180.679151061174,8080.0,56180.0,2050.793372862629,8080.0,8080.0,8080.0,8080.0,8080.0,8080.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,flow_duration,0.0,230.0,1590.0,2395.5118601747813,2474.0,211919.0,11118.965239520792,0.0,2.0,1277.0,14807.178513469653,2948.0,2678474.0,153182.49079424568,313.0,0.002882100426668551,0.24549019607843137,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,total_fwd_packets,1.0,2.0,2.0,2.5268414481897628,3.0,6.0,0.6907178411478164,1.0,1.0,5.0,3.015579357351509,5.0,10.0,2.0133686469985075,3.0,1.9932027117521074,3.0,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,total_backward_packets,0.0,0.0,1.0,2.056179775280899,4.0,5.0,1.9863508974097324,1.0,1.0,5.0,3.0100616682895165,5.0,6.0,2.0071857995357894,4.0,2.0032096329753672,4.0,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,total_length_of_fwd_packets,0.0,0.0,0.0,39.647940074906366,79.0,158.0,39.917206802034684,0.0,0.0,84.0,44.74001947419669,84.0,420.0,45.44198083213002,84.0,1.9640441194318081,1.0,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,total_length_of_bwd_packets,0.0,0.0,0.0,109.86267166042447,220.0,220.0,110.06864275239025,0.0,0.0,210.0,107.67770204479065,210.0,225.0,107.56575904475147,210.0,1.9297143370913785,14.0,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,fwd_packet_length_max,0.0,0.0,0.0,39.45068664169788,79.0,79.0,39.524648988358315,0.0,0.0,84.0,44.53456669912366,84.0,99.0,44.71800738657192,84.0,1.990460395887745,5.6,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,fwd_packet_length_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,fwd_packet_length_mean,0.0,0.0,0.0,12.79846054129535,26.33333396911621,39.5,12.942518714876476,0.0,0.0,14.0,8.90819771015904,16.8,42.0,8.965506424651322,14.0,1.2575183264418304,1.0,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,fwd_packet_length_std,0.0,0.0,0.0,22.415109560581925,45.61067199707031,45.61067199707031,22.50947886298801,0.0,0.0,34.29286,19.9046938876988,37.56594,48.307053,19.991522949515133,34.29286,1.61091898392258,3.4357152539547244,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,bwd_packet_length_max,0.0,0.0,0.0,92.38451935081149,185.0,185.0,92.55772231450999,0.0,0.0,185.0,93.84842583576761,185.0,192.0,93.67938589940015,185.0,1.9866786833685963,26.428571428571427,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,bwd_packet_length_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,
E13-D1 vs E4-frozen-DDoS,bwd_packet_length_mean,0.0,0.0,0.0,27.30087390761548,55.0,55.0,27.38422194869394,0.0,0.0,35.0,21.49691658552418,42.0,45.0,21.48262829384585,35.0,1.4221304847275535,3.5,,,,,,,,,,,,,,
