profile,rf_v2_class,rf_v3_class,count
E13-N-R1,Normal,Normal,32
E13-N-R1,Normal,DDoS,0
E13-N-R1,Normal,PortScan,0
E13-N-R1,DDoS,Normal,0
E13-N-R1,DDoS,DDoS,0
E13-N-R1,DDoS,PortScan,0
E13-N-R1,PortScan,Normal,0
E13-N-R1,PortScan,DDoS,0
E13-N-R1,PortScan,PortScan,0
E13-D1-R1,Normal,Normal,790
E13-D1-R1,Normal,DDoS,1
E13-D1-R1,Normal,PortScan,0
E13-D1-R1,DDoS,Normal,9
E13-D1-R1,DDoS,DDoS,1
E13-D1-R1,DDoS,PortScan,0
E13-D1-R1,PortScan,Normal,0
E13-D1-R1,PortScan,DDoS,0
E13-D1-R1,PortScan,PortScan,0
E13-D2-R1,Normal,Normal,1587
E13-D2-R1,Normal,DDoS,3
E13-D2-R1,Normal,PortScan,0
E13-D2-R1,DDoS,Normal,21
E13-D2-R1,DDoS,DDoS,1
E13-D2-R1,DDoS,PortScan,0
E13-D2-R1,PortScan,Normal,0
E13-D2-R1,PortScan,DDoS,0
E13-D2-R1,PortScan,PortScan,0
