feature,session_11,historical_ddos,absolute_median_difference,pooled_standardized_median_difference,robust_median_distance
flow_bytes_s,"{""min"": 0.0, ""q1"": 0.0, ""median"": 32724.26171875, ""mean"": 89630.81700645466, ""q3"": 177316.546875, ""max"": 327850.875, ""standard_deviation"": 96749.54997769887}","{""min"": 0.0, ""q1"": 0.0, ""median"": 156.3705, ""mean"": 54135.21678091913, ""q3"": 103176.023, ""max"": 320610.7, ""standard_deviation"": 61690.29515054004}",32567.89121875,0.40139775711590564,208.2738829814447
bwd_packet_length_max,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 92.26932668329177, ""q3"": 185.0, ""max"": 185.0, ""standard_deviation"": 92.55743451198941}","{""min"": 0.0, ""q1"": 0.0, ""median"": 185.0, ""mean"": 93.84842583576761, ""q3"": 185.0, ""max"": 192.0, ""standard_deviation"": 93.67938589940015}",185.0,1.9866817165984654,26.428571428571427
max_packet_length,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 92.26932668329177, ""q3"": 185.0, ""max"": 185.0, ""standard_deviation"": 92.55743451198941}","{""min"": 0.0, ""q1"": 0.0, ""median"": 185.0, ""mean"": 93.84842583576761, ""q3"": 185.0, ""max"": 192.0, ""standard_deviation"": 93.67938589940015}",185.0,1.9866817165984654,26.428571428571427
total_length_of_bwd_packets,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 109.72568578553616, ""q3"": 220.0, ""max"": 220.0, ""standard_deviation"": 110.06830050074417}","{""min"": 0.0, ""q1"": 0.0, ""median"": 210.0, ""mean"": 107.67770204479065, ""q3"": 210.0, ""max"": 225.0, ""standard_deviation"": 107.56575904475147}",210.0,1.9297174196146003,14.0
subflow_bwd_bytes,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 109.72568578553616, ""q3"": 220.0, ""max"": 220.0, ""standard_deviation"": 110.06830050074417}","{""min"": 0.0, ""q1"": 0.0, ""median"": 210.0, ""mean"": 107.67770204479065, ""q3"": 210.0, ""max"": 225.0, ""standard_deviation"": 107.56575904475147}",210.0,1.9297174196146003,14.0
bwd_packet_length_std,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 43.9519851760674, ""q3"": 88.22320556640625, ""max"": 88.22320556640625, ""standard_deviation"": 44.09365066258651}","{""min"": 0.0, ""q1"": 0.0, ""median"": 74.16199, ""mean"": 40.835750863356054, ""q3"": 80.669075, ""max"": 83.40863, ""standard_deviation"": 40.76342722026139}",74.16199,1.746582523083036,8.020425797911459
packet_length_std,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 32.77573969833869, ""q3"": 66.02583312988281, ""max"": 66.02583312988281, ""standard_deviation"": 32.88669964074268}","{""min"": 0.0, ""q1"": 0.0, ""median"": 54.204147, ""mean"": 29.77968752093476, ""q3"": 58.35082, ""max"": 61.814827, ""standard_deviation"": 29.741544624392127}",54.204147,1.7288022504215255,7.122116157820324
fwd_iat_min,"{""min"": 0.0, ""q1"": 5.0, ""median"": 21.0, ""mean"": 181.48254364089775, ""q3"": 215.75, ""max"": 2343.0, ""standard_deviation"": 320.2228863593736}","{""min"": 0.0, ""q1"": 0.0, ""median"": 3.0, ""mean"": 3.6504381694255112, ""q3"": 5.0, ""max"": 88.0, ""standard_deviation"": 5.849922907375013}",18.0,0.07948088215239059,6.0
fwd_packet_length_max,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 39.401496259351624, ""q3"": 79.0, ""max"": 79.0, ""standard_deviation"": 39.52452608890359}","{""min"": 0.0, ""q1"": 0.0, ""median"": 84.0, ""mean"": 44.53456669912366, ""q3"": 84.0, ""max"": 99.0, ""standard_deviation"": 44.71800738657192}",84.0,1.9904631099218466,5.6
bwd_header_length,"{""min"": 0.0, ""q1"": 0.0, ""median"": 32.0, ""mean"": 69.26683291770574, ""q3"": 136.0, ""max"": 168.0, ""standard_deviation"": 67.32700027468199}","{""min"": 32.0, ""q1"": 32.0, ""median"": 168.0, ""mean"": 100.33625446283673, ""q3"": 168.0, ""max"": 200.0, ""standard_deviation"": 68.22313381203789}",136.0,2.0065937813331414,4.25
