model_feature,model_feature_index,cicids2017_released_header,cicids2017_column_index_zero_based,v3_raw_header,v3_raw_index_zero_based,v3_source_class,v3_source_method,semantic_definition,units,directional_convention,payload_packet_length_convention,aggregation_convention,standard_deviation_convention,zero_empty_flow_behavior,direct_mapping_possible,transformation_required,transformation_formula,evidence,confidence,compatibility_status
destination_port,0, Destination Port,0,Dst Port,4,BasicFlow.java,getDstPort / dumpFlowBasedFeaturesEx,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,TCP/UDP port number,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
flow_duration,1, Flow Duration,1,Flow Duration,7,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
total_fwd_packets,2, Total Fwd Packets,2,Tot Fwd Pkts,8,BasicFlow.java,forward/backward.size / packetCount,First observed packet defines forward direction in both implementations.,count,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
total_backward_packets,3, Total Backward Packets,3,Tot Bwd Pkts,9,BasicFlow.java,forward/backward.size / packetCount,First observed packet defines forward direction in both implementations.,count,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
total_length_of_fwd_packets,4,Total Length of Fwd Packets,4,TotLen Fwd Pkts,10,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
total_length_of_bwd_packets,5, Total Length of Bwd Packets,5,TotLen Bwd Pkts,11,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_packet_length_max,6, Fwd Packet Length Max,6,Fwd Pkt Len Max,12,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_packet_length_min,7, Fwd Packet Length Min,7,Fwd Pkt Len Min,13,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_packet_length_mean,8, Fwd Packet Length Mean,8,Fwd Pkt Len Mean,14,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_packet_length_std,9, Fwd Packet Length Std,9,Fwd Pkt Len Std,15,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Apache Commons Math SummaryStatistics sample standard deviation; zero emitted for insufficient directional samples where guarded,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
