model_feature_index,expected_model_feature,implemented_model_feature,expected_v3_raw_header,implemented_v3_raw_header,expected_compatibility_status,implemented_compatibility_status,model_feature_match,v3_raw_header_match,compatibility_status_match,model_index_match,review_status
0,destination_port,destination_port,Dst Port,Dst Port,EXACT,EXACT,True,True,True,True,PASS
1,flow_duration,flow_duration,Flow Duration,Flow Duration,EXACT,EXACT,True,True,True,True,PASS
2,total_fwd_packets,total_fwd_packets,Tot Fwd Pkts,Tot Fwd Pkts,EXACT,EXACT,True,True,True,True,PASS
3,total_backward_packets,total_backward_packets,Tot Bwd Pkts,Tot Bwd Pkts,EXACT,EXACT,True,True,True,True,PASS
4,total_length_of_fwd_packets,total_length_of_fwd_packets,TotLen Fwd Pkts,TotLen Fwd Pkts,EXACT,EXACT,True,True,True,True,PASS
5,total_length_of_bwd_packets,total_length_of_bwd_packets,TotLen Bwd Pkts,TotLen Bwd Pkts,EXACT,EXACT,True,True,True,True,PASS
6,fwd_packet_length_max,fwd_packet_length_max,Fwd Pkt Len Max,Fwd Pkt Len Max,EXACT,EXACT,True,True,True,True,PASS
7,fwd_packet_length_min,fwd_packet_length_min,Fwd Pkt Len Min,Fwd Pkt Len Min,EXACT,EXACT,True,True,True,True,PASS
8,fwd_packet_length_mean,fwd_packet_length_mean,Fwd Pkt Len Mean,Fwd Pkt Len Mean,EXACT,EXACT,True,True,True,True,PASS
9,fwd_packet_length_std,fwd_packet_length_std,Fwd Pkt Len Std,Fwd Pkt Len Std,EXACT,EXACT,True,True,True,True,PASS
10,bwd_packet_length_max,bwd_packet_length_max,Bwd Pkt Len Max,Bwd Pkt Len Max,EXACT,EXACT,True,True,True,True,PASS
11,bwd_packet_length_min,bwd_packet_length_min,Bwd Pkt Len Min,Bwd Pkt Len Min,EXACT,EXACT,True,True,True,True,PASS
12,bwd_packet_length_mean,bwd_packet_length_mean,Bwd Pkt Len Mean,Bwd Pkt Len Mean,EXACT,EXACT,True,True,True,True,PASS
13,bwd_packet_length_std,bwd_packet_length_std,Bwd Pkt Len Std,Bwd Pkt Len Std,EXACT,EXACT,True,True,True,True,PASS
14,flow_bytes_s,flow_bytes_s,Flow Byts/s,Flow Byts/s,EXACT,EXACT,True,True,True,True,PASS
15,flow_packets_s,flow_packets_s,Flow Pkts/s,Flow Pkts/s,EXACT,EXACT,True,True,True,True,PASS
16,flow_iat_mean,flow_iat_mean,Flow IAT Mean,Flow IAT Mean,EXACT,EXACT,True,True,True,True,PASS
17,flow_iat_std,flow_iat_std,Flow IAT Std,Flow IAT Std,EXACT,EXACT,True,True,True,True,PASS
18,flow_iat_max,flow_iat_max,Flow IAT Max,Flow IAT Max,EXACT,EXACT,True,True,True,True,PASS
19,flow_iat_min,flow_iat_min,Flow IAT Min,Flow IAT Min,EXACT,EXACT,True,True,True,True,PASS
20,fwd_iat_total,fwd_iat_total,Fwd IAT Tot,Fwd IAT Tot,EXACT,EXACT,True,True,True,True,PASS
21,fwd_iat_mean,fwd_iat_mean,Fwd IAT Mean,Fwd IAT Mean,EXACT,EXACT,True,True,True,True,PASS
22,fwd_iat_std,fwd_iat_std,Fwd IAT Std,Fwd IAT Std,EXACT,EXACT,True,True,True,True,PASS
23,fwd_iat_max,fwd_iat_max,Fwd IAT Max,Fwd IAT Max,EXACT,EXACT,True,True,True,True,PASS
24,fwd_iat_min,fwd_iat_min,Fwd IAT Min,Fwd IAT Min,EXACT,EXACT,True,True,True,True,PASS
25,bwd_iat_total,bwd_iat_total,Bwd IAT Tot,Bwd IAT Tot,EXACT,EXACT,True,True,True,True,PASS
26,bwd_iat_mean,bwd_iat_mean,Bwd IAT Mean,Bwd IAT Mean,EXACT,EXACT,True,True,True,True,PASS
27,bwd_iat_std,bwd_iat_std,Bwd IAT Std,Bwd IAT Std,EXACT,EXACT,True,True,True,True,PASS
28,bwd_iat_max,bwd_iat_max,Bwd IAT Max,Bwd IAT Max,EXACT,EXACT,True,True,True,True,PASS
29,bwd_iat_min,bwd_iat_min,Bwd IAT Min,Bwd IAT Min,EXACT,EXACT,True,True,True,True,PASS
30,fwd_psh_flags,fwd_psh_flags,Fwd PSH Flags,Fwd PSH Flags,EXACT,EXACT,True,True,True,True,PASS
31,bwd_psh_flags,bwd_psh_flags,Bwd PSH Flags,Bwd PSH Flags,EXACT,EXACT,True,True,True,True,PASS
32,fwd_urg_flags,fwd_urg_flags,Fwd URG Flags,Fwd URG Flags,EXACT,EXACT,True,True,True,True,PASS
33,bwd_urg_flags,bwd_urg_flags,Bwd URG Flags,Bwd URG Flags,EXACT,EXACT,True,True,True,True,PASS
34,fwd_header_length,fwd_header_length,Fwd Header Len,Fwd Header Len,EXACT,EXACT,True,True,True,True,PASS
35,bwd_header_length,bwd_header_length,Bwd Header Len,Bwd Header Len,EXACT,EXACT,True,True,True,True,PASS
36,fwd_packets_s,fwd_packets_s,Fwd Pkts/s,Fwd Pkts/s,EXACT,EXACT,True,True,True,True,PASS
37,bwd_packets_s,bwd_packets_s,Bwd Pkts/s,Bwd Pkts/s,EXACT,EXACT,True,True,True,True,PASS
38,min_packet_length,min_packet_length,Pkt Len Min,Pkt Len Min,EXACT,EXACT,True,True,True,True,PASS
39,max_packet_length,max_packet_length,Pkt Len Max,Pkt Len Max,EXACT,EXACT,True,True,True,True,PASS
40,packet_length_mean,packet_length_mean,Pkt Len Mean,Pkt Len Mean,EXACT,EXACT,True,True,True,True,PASS
41,packet_length_std,packet_length_std,Pkt Len Std,Pkt Len Std,EXACT,EXACT,True,True,True,True,PASS
42,packet_length_variance,packet_length_variance,Pkt Len Var,Pkt Len Var,EXACT,EXACT,True,True,True,True,PASS
43,fin_flag_count,fin_flag_count,FIN Flag Cnt,FIN Flag Cnt,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
44,syn_flag_count,syn_flag_count,SYN Flag Cnt,SYN Flag Cnt,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
45,rst_flag_count,rst_flag_count,RST Flag Cnt,RST Flag Cnt,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
46,psh_flag_count,psh_flag_count,PSH Flag Cnt,PSH Flag Cnt,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
47,ack_flag_count,ack_flag_count,ACK Flag Cnt,ACK Flag Cnt,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
48,urg_flag_count,urg_flag_count,URG Flag Cnt,URG Flag Cnt,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
49,cwe_flag_count,cwe_flag_count,Fwd URG Flags,Fwd URG Flags,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
50,ece_flag_count,ece_flag_count,ECE Flag Cnt,ECE Flag Cnt,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
51,down_up_ratio,down_up_ratio,Down/Up Ratio,Down/Up Ratio,EXACT,EXACT,True,True,True,True,PASS
52,average_packet_size,average_packet_size,Pkt Size Avg,Pkt Size Avg,EXACT,EXACT,True,True,True,True,PASS
53,avg_fwd_segment_size,avg_fwd_segment_size,Fwd Seg Size Avg,Fwd Seg Size Avg,EXACT,EXACT,True,True,True,True,PASS
54,avg_bwd_segment_size,avg_bwd_segment_size,Bwd Seg Size Avg,Bwd Seg Size Avg,EXACT,EXACT,True,True,True,True,PASS
55,fwd_header_length.1,fwd_header_length.1,Fwd Header Len,Fwd Header Len,DATASET_ARTIFACT_REPRODUCTION,DATASET_ARTIFACT_REPRODUCTION,True,True,True,True,PASS
56,fwd_avg_bytes_bulk,fwd_avg_bytes_bulk,Fwd Byts/b Avg,Fwd Byts/b Avg,EXACT,EXACT,True,True,True,True,PASS
57,fwd_avg_packets_bulk,fwd_avg_packets_bulk,Fwd Pkts/b Avg,Fwd Pkts/b Avg,EXACT,EXACT,True,True,True,True,PASS
58,fwd_avg_bulk_rate,fwd_avg_bulk_rate,Fwd Blk Rate Avg,Fwd Blk Rate Avg,EXACT,EXACT,True,True,True,True,PASS
59,bwd_avg_bytes_bulk,bwd_avg_bytes_bulk,Bwd Byts/b Avg,Bwd Byts/b Avg,EXACT,EXACT,True,True,True,True,PASS
60,bwd_avg_packets_bulk,bwd_avg_packets_bulk,Bwd Pkts/b Avg,Bwd Pkts/b Avg,EXACT,EXACT,True,True,True,True,PASS
61,bwd_avg_bulk_rate,bwd_avg_bulk_rate,Bwd Blk Rate Avg,Bwd Blk Rate Avg,EXACT,EXACT,True,True,True,True,PASS
62,subflow_fwd_packets,subflow_fwd_packets,Subflow Fwd Pkts,Subflow Fwd Pkts,EXACT,EXACT,True,True,True,True,PASS
63,subflow_fwd_bytes,subflow_fwd_bytes,Subflow Fwd Byts,Subflow Fwd Byts,EXACT,EXACT,True,True,True,True,PASS
64,subflow_bwd_packets,subflow_bwd_packets,Subflow Bwd Pkts,Subflow Bwd Pkts,EXACT,EXACT,True,True,True,True,PASS
65,subflow_bwd_bytes,subflow_bwd_bytes,Subflow Bwd Byts,Subflow Bwd Byts,EXACT,EXACT,True,True,True,True,PASS
66,init_win_bytes_forward,init_win_bytes_forward,Init Fwd Win Byts,Init Fwd Win Byts,EXACT,EXACT,True,True,True,True,PASS
67,init_win_bytes_backward,init_win_bytes_backward,Init Bwd Win Byts,Init Bwd Win Byts,EXACT,EXACT,True,True,True,True,PASS
68,act_data_pkt_fwd,act_data_pkt_fwd,Fwd Act Data Pkts,Fwd Act Data Pkts,EXACT,EXACT,True,True,True,True,PASS
69,min_seg_size_forward,min_seg_size_forward,Fwd Seg Size Min,Fwd Seg Size Min,EXACT,EXACT,True,True,True,True,PASS
70,active_mean,active_mean,Active Mean,Active Mean,EXACT,EXACT,True,True,True,True,PASS
71,active_std,active_std,Active Std,Active Std,EXACT,EXACT,True,True,True,True,PASS
72,active_max,active_max,Active Max,Active Max,EXACT,EXACT,True,True,True,True,PASS
73,active_min,active_min,Active Min,Active Min,EXACT,EXACT,True,True,True,True,PASS
74,idle_mean,idle_mean,Idle Mean,Idle Mean,EXACT,EXACT,True,True,True,True,PASS
75,idle_std,idle_std,Idle Std,Idle Std,EXACT,EXACT,True,True,True,True,PASS
76,idle_max,idle_max,Idle Max,Idle Max,EXACT,EXACT,True,True,True,True,PASS
