record_type,scenario,v3_flow_count,v4_flow_count,reliably_matched_flows,unmatched_v3,unmatched_v4,orientation_differences,segmentation_boundary_differences,start_timestamp_difference_seconds,matching,v3_header,v4_header,matched_finite_count,exact_equality_percentage,mean_absolute_difference,max_absolute_difference,mean_symmetric_relative_difference,correlation
flow_summary,normal-http-test,61.0,61.0,61.0,0.0,0.0,0.0,30.0,"{'min': 0.0, 'median': 0.0, 'max': 0.0}",Protocol and canonical bidirectional five-tuple; Hungarian one-to-one assignment within identity minimizes start-time then duration difference; orientation checked separately.,,,,,,,,
feature_comparison,normal-http-test,,,,,,,,,,Flow Duration,Flow Duration,61.0,50.81967213114754,13.442622950819672,81.0,0.11648335325777322,0.9999999996139592
feature_comparison,normal-http-test,,,,,,,,,,Tot Fwd Pkts,Total Fwd Packet,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Tot Bwd Pkts,Total Bwd packets,61.0,50.81967213114754,0.4918032786885246,1.0,0.4918032786885246,0.9964707564321824
feature_comparison,normal-http-test,,,,,,,,,,TotLen Fwd Pkts,Total Length of Fwd Packet,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,TotLen Bwd Pkts,Total Length of Bwd Packet,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Fwd Pkt Len Max,Fwd Packet Length Max,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Fwd Pkt Len Min,Fwd Packet Length Min,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Fwd Pkt Len Mean,Fwd Packet Length Mean,61.0,100.0,0.0,0.0,0.0,0.9999999999999999
feature_comparison,normal-http-test,,,,,,,,,,Fwd Pkt Len Std,Fwd Packet Length Std,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd Pkt Len Max,Bwd Packet Length Max,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd Pkt Len Min,Bwd Packet Length Min,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Bwd Pkt Len Mean,Bwd Packet Length Mean,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd Pkt Len Std,Bwd Packet Length Std,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Flow Byts/s,Flow Bytes/s,56.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Flow Pkts/s,Flow Packets/s,56.0,55.35714285714286,1590.8250724852242,8323.13341493268,0.12036846248576816,0.9947801125587115
feature_comparison,normal-http-test,,,,,,,,,,Flow IAT Mean,Flow IAT Mean,61.0,50.81967213114754,83.95081967213115,1385.5,0.2673028758098731,0.9999999523226553
feature_comparison,normal-http-test,,,,,,,,,,Flow IAT Std,Flow IAT Std,61.0,50.81967213114754,118.7243877526659,1959.3928906679232,0.4918032786885246,0.9462251839540581
feature_comparison,normal-http-test,,,,,,,,,,Flow IAT Max,Flow IAT Max,61.0,91.80327868852459,4.180327868852459,81.0,0.08196721311475409,0.999999999754137
feature_comparison,normal-http-test,,,,,,,,,,Flow IAT Min,Flow IAT Min,61.0,59.01639344262295,163.72131147540983,2771.0,0.3706713253902381,0.9999998110369713
feature_comparison,normal-http-test,,,,,,,,,,Fwd IAT Tot,Fwd IAT Total,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Fwd IAT Mean,Fwd IAT Mean,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Fwd IAT Std,Fwd IAT Std,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Fwd IAT Max,Fwd IAT Max,61.0,100.0,0.0,0.0,0.0,0.9999999999999998
feature_comparison,normal-http-test,,,,,,,,,,Fwd IAT Min,Fwd IAT Min,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd IAT Tot,Bwd IAT Total,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd IAT Mean,Bwd IAT Mean,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd IAT Std,Bwd IAT Std,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd IAT Max,Bwd IAT Max,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd IAT Min,Bwd IAT Min,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Fwd PSH Flags,Fwd PSH Flags,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Bwd PSH Flags,Bwd PSH Flags,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Fwd URG Flags,Fwd URG Flags,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Bwd URG Flags,Bwd URG Flags,61.0,100.0,0.0,0.0,0.0,
feature_comparison,normal-http-test,,,,,,,,,,Fwd Header Len,Fwd Header Length,61.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,normal-http-test,,,,,,,,,,Bwd Header Len,Bwd Header Length,61.0,50.81967213114754,15.737704918032787,32.0,0.4918032786885246,0.9969963539922411
feature_comparison,normal-http-test,,,,,,,,,,Fwd Pkts/s,Fwd Packets/s,61.0,50.81967213114754,4421.501527346177,80000.0,0.11648335325777322,0.21020201279544912
feature_comparison,normal-http-test,,,,,,,,,,Bwd Pkts/s,Bwd Packets/s,61.0,50.81967213114754,3917.420369123158,40000.0,0.4918032786885246,-0.35177849342785233
