feature,importance_rank,importance,ks_training_vs_experiment_portscan,ks_training_vs_experiment_normal,experiment_portscan_outside_training_range_pct,experiment_portscan_to_training_median_ratio,cicids2017_training_portscan_count,cicids2017_training_portscan_mean,cicids2017_training_portscan_std,cicids2017_training_portscan_min,cicids2017_training_portscan_median,cicids2017_training_portscan_p95,cicids2017_training_portscan_max,cicids2017_training_portscan_percentage_zero,experiment_c_portscan_count,experiment_c_portscan_mean,experiment_c_portscan_std,experiment_c_portscan_min,experiment_c_portscan_median,experiment_c_portscan_p95,experiment_c_portscan_max,experiment_c_portscan_percentage_zero,experiment_c_normal_http_count,experiment_c_normal_http_mean,experiment_c_normal_http_std,experiment_c_normal_http_min,experiment_c_normal_http_median,experiment_c_normal_http_p95,experiment_c_normal_http_max,experiment_c_normal_http_percentage_zero
fwd_packet_length_mean,1,0.06979307622461878,0.9999449452893813,0.9999449452893813,0.0,,72655,1.0297694206237793,1.5438547134399414,0.0,0.0,2.0,147.3000030517578,50.26770353038332,1000,57.9986686706543,0.0421636626124382,56.66666793823242,58.0,58.0,58.0,0.0,32,84.95833587646484,11.348108291625977,80.0,82.33333587646484,94.78333473205565,141.0,0.0
total_length_of_fwd_packets,2,0.05865668757115486,0.9995733259927052,0.9999311816117267,0.0,,72655,1.1697750091552734,8.005016326904297,0.0,0.0,2.0,1473.0,50.26770353038332,1000,116.05400085449219,1.707629919052124,116.0,116.0,116.0,170.0,0.0,32,480.875,61.921775817871094,220.0,494.0,494.0,560.0,0.0
average_packet_size,3,0.057730422247653464,0.9990365425641732,0.9990503062418278,0.0,18.88888931274414,72655,5.077630519866943,36.422672271728516,0.0,3.0,5.0,1290.3333740234375,0.6069781845709173,1000,56.6670036315918,0.010540884919464588,56.66666793823242,56.66666793823242,56.66666793823242,57.0,0.0,32,96.76683044433594,8.540249824523926,90.53845977783203,95.0,101.74999999999999,141.0,0.0
subflow_fwd_bytes,4,0.056398301348612644,0.9995733259927052,0.9999311816117267,0.0,,72655,1.1697750091552734,8.005016326904297,0.0,0.0,2.0,1473.0,50.26770353038332,1000,116.05400085449219,1.707629919052124,116.0,116.0,116.0,170.0,0.0,32,480.875,61.921775817871094,220.0,494.0,494.0,560.0,0.0
avg_fwd_segment_size,5,0.05618528138697351,0.9999449452893813,0.9999449452893813,0.0,,72655,1.0297694206237793,1.5438547134399414,0.0,0.0,2.0,147.3000030517578,50.26770353038332,1000,57.9986686706543,0.0421636626124382,56.66666793823242,58.0,58.0,58.0,0.0,32,84.95833587646484,11.348108291625977,80.0,82.33333587646484,94.78333473205565,141.0,0.0
fwd_packet_length_max,6,0.05360605315036437,0.9993255797949212,0.9995733259927052,0.0,,72655,1.129901647567749,4.599301815032959,0.0,0.0,2.0,397.0,50.26770353038332,1000,58.0,0.0,58.0,58.0,58.0,58.0,0.0,32,146.59375,6.791167736053467,110.0,148.0,148.0,148.0,0.0
subflow_fwd_packets,7,0.03381752229780614,0.9836349872685982,0.9836349872685982,0.0,2.0,72655,1.0290826559066772,0.26910826563835144,1.0,1.0,1.0,18.0,0.0,1000,2.000999927520752,0.03162277862429619,2.0,2.0,2.0,3.0,0.0,32,5.78125,1.0075321197509766,2.0,6.0,6.0,7.0,0.0
packet_length_mean,8,0.030767526345343982,0.9990503062418278,0.9990503062418278,0.0,23.61111070270893,72655,3.653049945831299,32.939815521240234,0.0,2.4000000953674316,3.3333332538604736,1161.300048828125,0.6069781845709173,1000,56.6670036315918,0.010540884919464588,56.66666793823242,56.66666793823242,56.66666793823242,57.0,0.0,32,96.76683044433594,8.540249824523926,90.53845977783203,95.0,101.74999999999999,141.0,0.0
total_fwd_packets,9,0.029684341887607796,0.9836349872685982,0.9836349872685982,0.0,2.0,72655,1.0290826559066772,0.26910826563835144,1.0,1.0,1.0,18.0,0.0,1000,2.000999927520752,0.03162277862429619,2.0,2.0,2.0,3.0,0.0,32,5.78125,1.0075321197509766,2.0,6.0,6.0,7.0,0.0
flow_iat_max,10,0.029210397904237996,0.9986786869451517,0.9986786869451517,0.0,6.000000212225131e-08,72655,138382.703125,2963620.0,0.0,50.0,97.0,120000000.0,0.13213130548482555,1000,1.487500048824586e-05,5.608435458270833e-05,0.0,3.000000106112566e-06,4.999999873689376e-05,0.000678999989759177,0.7000000000000001,32,0.003605406265705824,0.0021467842161655426,0.0,0.003335000015795231,0.0072323499014601104,0.008309000171720982,6.25
