scenario,reference_label,feature_index,feature,lab_row_count,reference_row_count,lab_finite_count,reference_finite_count,lab_mean,reference_mean,lab_median,reference_median,lab_std,reference_std,lab_min,reference_min,lab_max,reference_max,ks_statistic,feature_importance,importance_times_ks
Normal,BENIGN,0,destination_port,61,2273097,61,2273097,7947.540983606557,9419.545171631478,8080.0,80.0,1026.023129093637,19755.12906730266,0.0,0.0,8080.0,65535.0,0.7960637468414671,0.008107063223032228,0.006453739125207695
Normal,BENIGN,1,flow_duration,61,2273097,61,2273097,91596.6393442623,11220820.773615908,2132.0,30996.0,687823.1977271064,30123148.73903182,0.0,-13.0,5419403.0,120000000.0,0.5684139809053896,0.02328676178459756,0.013236520968378594
Normal,BENIGN,2,total_fwd_packets,61,2273097,61,2273097,2.5081967213114753,10.654173139113729,2.0,2.0,0.5317139259090772,836.5354387788631,2.0,1.0,4.0,219759.0,0.25090487328701694,0.029684341887607796,0.007447946039918723
Normal,BENIGN,3,total_backward_packets,61,2273097,61,2273097,1.9836065573770492,12.13863640662937,0.0,2.0,2.020321377443134,1112.9889787025993,0.0,0.0,5.0,291922.0,0.36260152673772866,0.010060785405143801,0.0036480561480858003
Normal,BENIGN,4,total_length_of_fwd_packets,61,2273097,61,2273097,40.32786885245902,635.536885579454,0.0,66.0,40.99449035810185,10634.086512556196,0.0,0.0,82.0,12900000.0,0.3832049402203249,0.05865668757115486,0.02247753245422667
Normal,BENIGN,5,total_length_of_bwd_packets,61,2273097,61,2273097,104.75409836065573,18848.70715679973,0.0,130.0,106.48568836921577,2525409.6973058935,0.0,0.0,213.0,655453056.0,0.3502582599862655,0.012056970617397567,0.0042230535491552005
Normal,BENIGN,6,fwd_packet_length_max,61,2273097,61,2273097,40.32786885245902,230.3861621391432,0.0,40.0,40.99449035810185,791.3699753997338,0.0,0.0,82.0,24820.0,0.3805704035608471,0.05360605315036437,0.020400877280738385
Normal,BENIGN,7,fwd_packet_length_min,61,2273097,61,2273097,0.0,22.793373973921923,0.0,6.0,0.0,63.36967114123094,0.0,0.0,0.0,2325.0,0.6059543433474243,0.007840488095608292,0.004750977815497619
Normal,BENIGN,8,fwd_packet_length_mean,61,2273097,61,2273097,13.330601395153609,66.39606418079384,0.0,37.0,13.578232509621138,204.2561358563269,0.0,0.0,27.33333396911621,4672.0,0.6488486852958761,0.06979307622461878,0.045285145751098765
Normal,BENIGN,9,fwd_packet_length_std,61,2273097,61,2273097,23.179327730272636,74.5563073411966,0.0,0.0,23.576007622061393,311.27555747945087,0.0,0.0,47.34272384643555,7125.5966796875,0.2672638067698163,0.00810793022505172,0.002166956296971376
Normal,BENIGN,10,bwd_packet_length_max,61,2273097,61,2273097,90.98360655737704,396.5347871208312,0.0,83.0,92.48756971035174,812.6815291148245,0.0,0.0,185.0,19530.0,0.25944314854269346,0.014440276938808012,0.003746430914832798
Normal,BENIGN,11,bwd_packet_length_min,61,2273097,61,2273097,0.0,50.662469309492735,0.0,6.0,0.0,73.38252186884485,0.0,0.0,0.0,2896.0,0.5423032980994652,0.011785350065507192,0.006391234209781298
Normal,BENIGN,12,bwd_packet_length_mean,61,2273097,61,2273097,26.0139344012151,160.79668115099778,0.0,77.0,26.4779093217566,283.57817271625237,0.0,0.0,53.25,3787.339599609375,0.58529002501873,0.022059569375214978,0.012911245911521983
Normal,BENIGN,13,bwd_packet_length_std,61,2273097,61,2273097,43.54573196661277,123.1259516706078,0.0,0.0,44.27786707833851,275.27035298348693,0.0,0.0,88.81957244873047,4113.240234375,0.2906930752964124,0.008604750670916463,0.0025013414346875744
Normal,BENIGN,14,flow_bytes_s,61,2273097,56,2271320,38209.652064732145,1779841.5571997701,34476.9794921875,5149.7724609375,44962.62980266946,28143716.74931702,0.0,-261000000.0,162534.4375,2071000064.0,0.3417393535791648,0.012539916546462302,0.0042853829745246996
Normal,BENIGN,15,flow_packets_s,61,2273097,56,2271320,5703.397015623216,64778.594736762614,2388.1856689453125,122.52649688720703,6660.852801706647,239219.50616719667,0.36904433369636536,-2000000.0,27397.259765625,4000000.0,0.5730318556107084,0.01875389301585683,0.010746578114801142
Normal,BENIGN,16,flow_iat_mean,61,2273097,61,2273097,89441.55190939982,908848.3265776385,401.0,10575.0,688095.2797380692,4117433.174282386,0.0,-13.0,5419403.0,120000000.0,0.5714015348901074,0.012114044474693029,0.006921983606566621
Normal,BENIGN,17,flow_iat_std,61,2273097,61,2273097,731.7437944255892,1577395.3341926166,0.0,109.30233001708984,922.8494805050576,5868028.597321789,0.0,0.0,3234.63623046875,84800264.0,0.4454869281865226,0.01466029036765193,0.006530967722207724
Normal,BENIGN,18,flow_iat_max,61,2273097,61,2273097,90892.88524590163,4473837.453812574,1303.0,30667.0,687911.3493343598,14501389.434740009,0.0,-13.0,5419403.0,120000000.0,0.5705819482204668,0.029210397904237996,0.016666925744495156
Normal,BENIGN,19,flow_iat_min,61,2273097,61,2273097,89022.4262295082,147532.11733111256,25.0,4.0,688149.3078115318,2688957.2559768152,0.0,-14.0,5419403.0,120000000.0,0.32784989226477224,0.003614935859593761,0.0011851563321118763
Normal,BENIGN,20,fwd_iat_total,61,2273097,61,2273097,89761.72131147541,10899688.753730264,627.0,4.0,688054.9663835155,29992843.54389736,0.0,0.0,5419403.0,120000000.0,0.5252426859788614,0.024036633694432163,0.01262506604355355
Normal,BENIGN,21,fwd_iat_mean,61,2273097,61,2273097,89371.8606557377,1900297.581616442,320.5,4.0,688104.3754658139,9289435.579811798,0.0,0.0,5419403.0,120000000.0,0.5267617588560857,0.017277657399376176,0.009101209200608258
Normal,BENIGN,22,fwd_iat_std,61,2273097,61,2273097,398.34467153080175,1248621.2196599396,0.0,0.0,725.8823085179924,4660671.335386994,0.0,0.0,3165.010009765625,84602928.0,0.2951827396719102,0.018535205817935253,0.005471272833720857
Normal,BENIGN,23,fwd_iat_max,61,2273097,61,2273097,89674.14754098361,4321197.293295886,492.0,4.0,688066.0237590108,14586850.63232285,0.0,0.0,5419403.0,120000000.0,0.5257217680417914,0.012043056920517735,0.006331297176882515
Normal,BENIGN,24,fwd_iat_min,61,2273097,61,2273097,89092.0655737705,1139994.3833760724,162.0,3.0,688140.3195781918,8985258.053528953,0.0,0.0,5419403.0,120000000.0,0.5635340711625492,0.006150671461633378,0.0034661129291575646
Normal,BENIGN,25,bwd_iat_total,61,2273097,61,2273097,2401.3606557377047,10163554.913290545,0.0,3.0,2911.032682702739,29171524.948917706,0.0,0.0,10906.0,120000000.0,0.26042883343737644,0.0011058594174839001,0.0002879976780410688
Normal,BENIGN,26,bwd_iat_mean,61,2273097,61,2273097,792.0109342981557,1782199.4395944932,0.0,3.0,961.5491935425703,9206794.185190719,0.0,0.0,3635.333251953125,120000000.0,0.2574421593095235,0.003509418725286454,0.0009034723345590202
Normal,BENIGN,27,bwd_iat_std,61,2273097,61,2273097,954.9312328901448,992756.7321464377,0.0,0.0,1245.2598964747258,4160578.8232494327,0.0,0.0,4365.22802734375,84418016.0,0.25556478996586995,0.001068237586149994,0.00027300391433807115
Normal,BENIGN,28,bwd_iat_max,61,2273097,61,2273097,1875.3934426229507,3746856.386610426,0.0,3.0,2382.983089025173,13781958.838891441,0.0,0.0,8309.0,120000000.0,0.2607979333921957,0.0011563754266246228,0.0003015803214892203
Normal,BENIGN,29,bwd_iat_min,61,2273097,61,2273097,87.98360655737704,1119435.8785212422,0.0,2.0,134.18014460666257,8913821.482169965,0.0,0.0,755.0,120000000.0,0.38714782403788717,0.0019961488785581465,0.0007728046947894551
Normal,BENIGN,30,fwd_psh_flags,61,2273097,61,2273097,0.0,0.054886351088404936,0.0,0.0,0.0,0.22775829195136954,0.0,0.0,0.0,1.0,0.054886351088404894,3.303870419908219e-05,1.813373918176782e-06
Normal,BENIGN,31,bwd_psh_flags,61,2273097,61,2273097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,BENIGN,32,fwd_urg_flags,61,2273097,61,2273097,0.0,0.00013857745621942224,0.0,0.0,0.0,0.011771076947673481,0.0,0.0,0.0,1.0,0.00013857745621936868,1.2768897711935716e-07,1.7694813636453684e-11
Normal,BENIGN,33,bwd_urg_flags,61,2273097,61,2273097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,BENIGN,34,fwd_header_length,61,2273097,61,2273097,83.14754098360656,-32404.368960497508,64.0,64.0,23.37003550547172,23493738.600883283,0.0,-32212234240.0,136.0,4644908.0,0.4734409111243815,0.011315397571790769,0.005357172136123236
Normal,BENIGN,35,bwd_header_length,61,2273097,61,2273097,67.40983606557377,-2854.529833526682,0.0,40.0,68.6424275071292,1620578.6805026776,0.0,-1073741312.0,168.0,5838440.0,0.3625350975444298,0.010368096232830675,0.003758798779119304
Normal,BENIGN,36,fwd_packets_s,61,2273097,61,2273097,4757.651656276378,58431.637539625786,992.7200317382812,63.787715911865234,6817.471050794314,231907.88691937434,0.0,0.0,27397.259765625,3000000.0,0.48768692604169117,0.011131896346437568,0.00542888031020887
Normal,BENIGN,37,bwd_packets_s,61,2273097,61,2273097,478.2538081935195,6393.534895350331,0.0,25.407569885253906,602.2438547620047,37971.29775949184,0.0,0.0,2203.856689453125,2000000.0,0.36217787565728643,0.026529619849240283,0.009608441358993225
Normal,BENIGN,38,min_packet_length,61,2273097,61,2273097,0.0,20.224150135255996,0.0,6.0,0.0,26.53376397222061,0.0,0.0,0.0,1448.0,0.5984535635742778,0.007063370336737162,0.004227099148865201
