model_feature,cicids2017_raw_header,historical_java_raw_header,historical_java_column_index_zero_based,mapping_type,unit,semantic_definition,direction_convention,aggregation_convention,conversion_required,conversion_formula,confidence,evidence,compatibility_status
destination_port,Destination Port,Dst Port,4,direct_historical_java_column,TCP/UDP port number,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,not directional,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
flow_duration,Flow Duration,Flow Duration,7,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
total_fwd_packets,Total Fwd Packets,Total Fwd Packet,8,direct_historical_java_column,count,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
total_backward_packets,Total Backward Packets,Total Bwd packets,9,direct_historical_java_column,count,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
total_length_of_fwd_packets,Total Length of Fwd Packets,Total Length of Fwd Packet,10,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
total_length_of_bwd_packets,Total Length of Bwd Packets,Total Length of Bwd Packet,11,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_packet_length_max,Fwd Packet Length Max,Fwd Packet Length Max,12,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_packet_length_min,Fwd Packet Length Min,Fwd Packet Length Min,13,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_packet_length_mean,Fwd Packet Length Mean,Fwd Packet Length Mean,14,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_packet_length_std,Fwd Packet Length Std,Fwd Packet Length Std,15,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,population std/variance; Python ddof=0 versus Java sample convention,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_packet_length_max,Bwd Packet Length Max,Bwd Packet Length Max,16,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_packet_length_min,Bwd Packet Length Min,Bwd Packet Length Min,17,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_packet_length_mean,Bwd Packet Length Mean,Bwd Packet Length Mean,18,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_packet_length_std,Bwd Packet Length Std,Bwd Packet Length Std,19,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,population std/variance; Python ddof=0 versus Java sample convention,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
