comparison,importance_rank,model_feature,cicids2017_header,historical_java_header,cicids2017_count,cicids2017_median,cicids2017_mean,cicids2017_p95,cicids2017_percentage_zero,historical_count,historical_median,historical_mean,historical_p95,historical_percentage_zero,ks_statistic,shift_interpretation,warning
CICIDS2017_BENIGN_vs_historical_normal_http,1,fwd_packet_length_mean,Fwd Packet Length Mean,Fwd Packet Length Mean,2273097,37.0,66.39606423588816,153.7073171,12.762631775062832,61,0.0,13.330601092896174,27.333333333333332,50.81967213114754,0.6488486852958761,large,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,2,total_length_of_fwd_packets,Total Length of Fwd Packets,Total Length of Fwd Packet,2273097,66.0,635.536885579454,2156.0,12.762631775062832,61,0.0,40.32786885245902,82.0,50.81967213114754,0.3832049402203249,moderate,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,3,average_packet_size,Average Packet Size,Average Packet Size,2273097,74.25,124.09232793739943,462.3703704,12.259309655505241,61,0.0,20.572469424928443,42.142857142857146,50.81967213114754,0.6586216954225886,large,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,4,subflow_fwd_bytes,Subflow Fwd Bytes,Subflow Fwd Bytes,2273097,66.0,635.5238364222909,2156.0,12.762631775062832,61,0.0,0.0,0.0,100.0,0.8723736822493717,large,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,5,avg_fwd_segment_size,Avg Fwd Segment Size,Fwd Segment Size Avg,2273097,37.0,66.39606423588816,153.7073171,12.762631775062832,61,0.0,13.330601092896174,27.333333333333332,50.81967213114754,0.6488486852958761,large,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,6,fwd_packet_length_max,Fwd Packet Length Max,Fwd Packet Length Max,2273097,40.0,230.3861621391432,904.0,12.762631775062832,61,0.0,40.32786885245902,82.0,50.81967213114754,0.3805704035608471,moderate,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,7,subflow_fwd_packets,Subflow Fwd Packets,Subflow Fwd Packets,2273097,2.0,10.654173139113729,21.0,0.0,61,0.0,0.03278688524590164,0.0,98.36065573770492,0.9836065573770492,large,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,8,packet_length_mean,Packet Length Mean,Packet Length Mean,2273097,58.6,109.29283968279604,435.14612903999864,12.259309655505241,61,0.0,18.014344262295083,36.875,50.81967213114754,0.6561431386342069,large,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,9,total_fwd_packets,Total Fwd Packets,Total Fwd Packet,2273097,2.0,10.654173139113729,21.0,0.0,61,2.0,2.5081967213114753,3.0,0.0,0.25090487328701694,moderate,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_BENIGN_vs_historical_normal_http,10,flow_iat_max,Flow IAT Max,Flow IAT Max,2273097,30667.0,4473837.454076971,19900000.0,0.07813128960180757,61,1303.0,90897.0655737705,6520.0,0.0,0.5705819482204668,large,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_PortScan_vs_historical_portscan,1,fwd_packet_length_mean,Fwd Packet Length Mean,Fwd Packet Length Mean,158930,0.0,1.0094433608087838,2.0,50.53545586107091,1000,0.0,0.0,0.0,100.0,0.4946454413892909,moderate,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_PortScan_vs_historical_portscan,2,total_length_of_fwd_packets,Total Length of Fwd Packets,Total Length of Fwd Packet,158930,0.0,1.0891713332913862,2.0,50.53545586107091,1000,0.0,0.0,0.0,100.0,0.4946454413892909,moderate,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_PortScan_vs_historical_portscan,3,average_packet_size,Average Packet Size,Average Packet Size,158930,3.0,4.63061449533786,5.0,0.34669351286730005,1000,0.0,0.0,0.0,100.0,0.996533064871327,large,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_PortScan_vs_historical_portscan,4,subflow_fwd_bytes,Subflow Fwd Bytes,Subflow Fwd Bytes,158930,0.0,1.0891713332913862,2.0,50.53545586107091,1000,0.0,0.0,0.0,100.0,0.4946454413892909,moderate,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_PortScan_vs_historical_portscan,5,avg_fwd_segment_size,Avg Fwd Segment Size,Fwd Segment Size Avg,158930,0.0,1.0094433608087838,2.0,50.53545586107091,1000,0.0,0.0,0.0,100.0,0.4946454413892909,moderate,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_PortScan_vs_historical_portscan,6,fwd_packet_length_max,Fwd Packet Length Max,Fwd Packet Length Max,158930,0.0,1.0697602718177814,2.0,50.53545586107091,1000,0.0,0.0,0.0,100.0,0.4946454413892909,moderate,"KS indicates distribution difference, not semantic incompatibility by itself."
CICIDS2017_PortScan_vs_historical_portscan,7,subflow_fwd_packets,Subflow Fwd Packets,Subflow Fwd Packets,158930,1.0,1.0175800666960297,1.0,0.0,1000,0.0,0.0,0.0,100.0,1.0,large,"KS indicates distribution difference, not semantic incompatibility by itself."
