record_type,scenario,historical_flow_count,hieulw_flow_count,matched_flows_by_bidirectional_identity,reliably_one_to_one_matched_flows,unmatched_historical_flows,unmatched_hieulw_flows,split_identity_groups_historical_gt_hieulw,extra_historical_segments_in_split_groups,merged_identity_groups_hieulw_gt_historical,extra_hieulw_segments_in_merged_groups,orientation_differences,timestamp_difference_seconds,matching_definition,model_feature,historical_header,hieulw_header,count,exact_match_percentage,mean_absolute_difference,median_absolute_difference,mean_symmetric_relative_difference,correlation
flow_summary,normal-http-test,61.0,32.0,30.0,0.0,31.0,2.0,30.0,30.0,0.0,0.0,0.0,"{'count': 30, 'min': 0.0, 'median': 0.0, 'max': 0.0}","Protocol plus canonicalized endpoint(IP,port) pair; nearest timestamps only pair rows within an already-matching bidirectional identity.",,,,,,,,,
flow_summary,portscan-test,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'count': 1000, 'min': 0.0, 'median': 0.0, 'max': 0.0}","Protocol plus canonicalized endpoint(IP,port) pair; nearest timestamps only pair rows within an already-matching bidirectional identity.",,,,,,,,,
feature_comparison,portscan-test,,,,,,,,,,,,,,destination_port,Dst Port,dst_port,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,,,,,flow_duration,Flow Duration,flow_duration,1000.0,0.7000000000000001,15.430984569,2.999997,0.9929990070000002,1.0
feature_comparison,portscan-test,,,,,,,,,,,,,,total_fwd_packets,Total Fwd Packet,tot_fwd_pkts,1000.0,0.0,1.0,1.0,0.4998333333333333,1.0
feature_comparison,portscan-test,,,,,,,,,,,,,,total_backward_packets,Total Bwd packets,tot_bwd_pkts,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,total_length_of_fwd_packets,Total Length of Fwd Packet,totlen_fwd_pkts,1000.0,0.0,116.054,116.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,total_length_of_bwd_packets,Total Length of Bwd Packet,totlen_bwd_pkts,1000.0,0.0,54.004,54.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_packet_length_max,Fwd Packet Length Max,fwd_pkt_len_max,1000.0,0.0,58.0,58.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_packet_length_min,Fwd Packet Length Min,fwd_pkt_len_min,1000.0,0.0,57.996,58.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_packet_length_mean,Fwd Packet Length Mean,fwd_pkt_len_mean,1000.0,0.0,57.998666666666665,58.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_packet_length_std,Fwd Packet Length Std,fwd_pkt_len_std,1000.0,99.9,0.0018856180831641268,0.0,0.001,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_packet_length_max,Bwd Packet Length Max,bwd_pkt_len_max,1000.0,0.0,54.004,54.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_packet_length_min,Bwd Packet Length Min,bwd_pkt_len_min,1000.0,0.0,54.004,54.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_packet_length_mean,Bwd Packet Length Mean,bwd_pkt_len_mean,1000.0,0.0,54.004,54.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_packet_length_std,Bwd Packet Length Std,bwd_pkt_len_std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,flow_bytes_s,Flow Bytes/s,flow_byts_s,993.0,0.0,64663836.426679924,56666666.666666664,1.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,flow_packets_s,Flow Packets/s,flow_pkts_s,993.0,0.0,380375.2267680206,333333.3333333334,0.3332494125545485,0.9999999998959972
feature_comparison,portscan-test,,,,,,,,,,,,,,flow_iat_mean,Flow IAT Mean,flow_iat_mean,1000.0,0.7000000000000001,14.820992487833335,2.9999985,0.9929995033333331,0.9945450640860486
feature_comparison,portscan-test,,,,,,,,,,,,,,flow_iat_std,Flow IAT Std,flow_iat_std,1000.0,0.7000000000000001,0.07637434695082404,1.5e-06,0.9929999961905628,0.3252560811094739
feature_comparison,portscan-test,,,,,,,,,,,,,,flow_iat_max,Flow IAT Max,flow_iat_max,1000.0,0.7000000000000001,14.874985124999998,2.999997,0.9929990070000002,0.9999999999999998
feature_comparison,portscan-test,,,,,,,,,,,,,,flow_iat_min,Flow IAT Min,flow_iat_min,1000.0,0.7000000000000001,14.767,3.0,0.993,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_iat_total,Fwd IAT Total,fwd_iat_tot,1000.0,99.9,1.2199987799999998,0.0,0.000999999,0.9999999999999997
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_iat_mean,Fwd IAT Mean,fwd_iat_mean,1000.0,99.9,1.21999939,0.0,0.0009999994999999999,0.9999999999999997
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_iat_std,Fwd IAT Std,fwd_iat_std,1000.0,99.9,6.1e-07,0.0,0.001,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_iat_max,Fwd IAT Max,fwd_iat_max,1000.0,99.9,1.2199987799999998,0.0,0.000999999,0.9999999999999997
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_iat_min,Fwd IAT Min,fwd_iat_min,1000.0,99.9,1.22,0.0,0.001,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_iat_total,Bwd IAT Total,bwd_iat_tot,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_iat_mean,Bwd IAT Mean,bwd_iat_mean,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_iat_std,Bwd IAT Std,bwd_iat_std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_iat_max,Bwd IAT Max,bwd_iat_max,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_iat_min,Bwd IAT Min,bwd_iat_min,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_psh_flags,Fwd PSH Flags,fwd_psh_flags,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,bwd_psh_flags,Bwd PSH Flags,bwd_psh_flags,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,,,,,fwd_urg_flags,Fwd URG Flags,fwd_urg_flags,1000.0,100.0,0.0,0.0,0.0,
