artifact,path,exists,sha256,role,relevance,reproducibility_status
active_model,models/random_forest_active.joblib,true,73d86cb98f35c228d6e619e0f746a2b659d94deabe86d57e801c58bcf935f647,served fitted pipeline,critical,verified against metadata and tuned model
tuned_model,models/random_forest_tuned.joblib,true,73d86cb98f35c228d6e619e0f746a2b659d94deabe86d57e801c58bcf935f647,selected fitted pipeline,critical,byte-identical to active model
baseline_model,models/random_forest_baseline.joblib,true,0ac3031724bb1168553ba81aeb48dafc80036ec942af8181dd84dea49228190c,selection comparator,medium,present but not selected
model_metadata,models/model_metadata.json,true,c632b16d30efb8f5a642070520c43cc1caaf36cbead33bddf9b5359b0fb531f2,active model contract,critical,model hash and recipe summary verified
tuned_metrics,reports/metrics/tuned_metrics.json,true,1d5790ff92b438c5dd58cc7877c40dfaa67c7d223fcd98dab773f6670260d8d3,primary training record,critical,contains ordered dataset identity split audit search and metrics
baseline_metrics,reports/metrics/baseline_metrics.json,true,5c3527b3c77fc83d4e2568d21d9aae207bcab0f5530e691ead1da6b29be92836,baseline training record,high,corroborates identical preprocessing and split
data_understanding,reports/metrics/data_understanding.json,true,f3eb36a4949a7fc157d731b6a20cf732c718d8cf1ce9a75b67edcd43df3c0543,input order schema and distributions,critical,present and consistent
best_parameters,reports/metrics/tuned_best_parameters.json,true,3912724a28eb108a1fb5bb47e79aa56629a165033b0c8affd95bcad4c0ad4617,winning search parameters,high,present and consistent
tuning_results,reports/metrics/tuning_results.csv,true,8522d03f9f65c77acee6bc1955bc2d279421b5e1ea8a8306d6db289f10126930,RandomizedSearchCV results,high,present
model_comparison,reports/metrics/model_comparison.json,true,2c66f07dcd54286fce08b8c0fea09b4a3fe117e275a946ac572f4771b48309fa,model selection record,high,present and selects tuned
train_tuned_source,src/training/train_tuned.py,true,d97d96777cac7f4a34189b54a1c9a919e08a522600d9370d4ebfe134ba283302,tuning and final refit recipe,critical,unchanged from local training-era commit
train_baseline_source,src/training/train_baseline.py,true,9bd5cc21c25118f444355cb50b6c790ba2b1d465ab6429ed2341305ed33a7270,pipeline and common validation recipe,critical,present
dataset_preparation_current,src/preprocessing/dataset.py,true,587f3db91fba25957f1d05463979a9388e2e7312d546153ea6d9024da96b8212,filter deduplicate split recipe,critical,source drift after training; historical blob available
